Player Name,Position,College,consensus,beast_grade,br_article_grade,br_pro_comparison,p_real_contract,p_practice_only,p_out_of_league,sc_prediction,p_mocked_higher,p_mocked_near_consensus,p_mocked_lower,draft_prediction,text_source,has_br,has_pff
Tyren Montgomery,WR,John Carroll,234,Free Agent,,,14.9,74.1,11.1,practice_only,6.9,7.1,86.0,mocked_lower,beast,False,False
Luke Altmyer,QB,Illinois,236,7th round-​,,,26.2,48.6,25.1,practice_only,54.4,5.9,39.7,mocked_higher,beast,False,False
Jamarion Miller,RB,Alabama,237,6th-7th round,,,21.1,60.0,19.0,practice_only,22.4,14.4,63.2,mocked_lower,beast,False,False
Micah Morris,IOL,Georgia,238,7th round-​,,,9.7,63.9,26.5,practice_only,25.8,6.8,67.4,mocked_lower,beast,False,False
Cole Wisniewski,S,Texas Tech,239,7th round-Free,,,20.7,50.1,29.2,practice_only,13.7,7.9,78.4,mocked_lower,beast,False,False
Josh Cuevas,TE,Alabama,240,5th round,6.7 (Role Player/Part-Time Contributor — 4th Round),Cade Otton,38.0,48.3,13.7,practice_only,73.5,7.5,19.0,mocked_higher,beast,True,False
Faalili Faamoe,OT,Wake Forest,241,6th-7th round,,,28.6,45.2,26.1,practice_only,28.2,12.4,59.4,mocked_lower,beast,False,False
Logan Fano,EDGE,Utah,244,5th round,,,21.2,40.2,38.6,practice_only,91.3,2.0,6.7,mocked_higher,beast,False,False
Fernando Carmona,IOL,Arkansas,245,6th round,5.9 (Backup/Draftable - 6th Round),Joe Looney,13.5,48.1,38.3,practice_only,82.2,2.9,14.9,mocked_higher,beast,True,False
Alex Harkey,OT,Oregon,246,5th round,5.8 (Backup/Draftable - 6th Round),Jalen Mayfield,17.9,38.7,43.4,out_of_league,76.9,6.0,17.1,mocked_higher,beast,True,False
Kendal Daniels,S,Oklahoma,247,6th round,,,40.2,23.7,36.1,real_contract,31.6,12.2,56.2,mocked_lower,beast,False,False
David Gusta,DL,Kentucky,248,6th-7th round,,,0.4,80.1,19.4,practice_only,82.0,0.7,17.3,mocked_higher,beast,False,False
Collin Wright,CB,Stanford,249,6th round,,,22.9,52.2,24.9,practice_only,87.3,2.5,10.2,mocked_higher,beast,False,False
Deven Eastern,DL,Minnesota,250,Free Agent,,,9.1,55.6,35.3,practice_only,16.9,14.4,68.7,mocked_lower,beast,False,False
Malik Benson,WR,Oregon,251,4th-5th round,,,32.0,56.4,11.6,practice_only,48.7,26.5,24.8,mocked_higher,beast,False,False
