"","player","Position","date_signed","contract_type","APY","Years","draft_year","rank_on_date_APY","contract_num"
"108","Andrew Wylie","LT",2017-10-09,"Practice",122400,1,2017,86,2
"109","Derrick Nelson","C",2017-10-10,"Practice",122400,1,2017,84,2
"110","Dieugot Joseph","LT",2017-10-12,"Practice",255000,1,2017,84,2
"111","Kyle Kalis","LG",2017-10-14,"SFA",510000,2,2017,73,2
"112","Cole Hikutini","TE",2017-10-14,"SFA",510000,2,2017,152,2
"113","Xavier Coleman","CB",2017-10-14,"SFA",510000,2,2017,258,2
"114","Marcus Kemp","WR",2017-10-14,"SFA",465000,1,2017,318,2
"115","Peli Anau","DE",2017-10-16,"Practice",122400,1,2017,90,2
"116","Brian Hill","RB",2017-10-17,"Practice",122400,1,2017,185,2
"117","Joey Ivie","DT",2017-10-17,"Practice",122400,1,2017,158,2
"118","Scott Orndoff","TE",2017-10-17,"Practice",122400,1,2017,172,2
"119","Charlie Miller","S",2017-10-17,"Practice",122400,1,2017,210,2
"120","Tim Patrick","WR",2017-10-20,"Practice",122400,1,2017,348,2
"121","Jerrol Garcia-Williams","LB",2017-10-21,"SFA",465000,1,2017,280,2
"122","Elijah Wilkinson","RT",2017-10-21,"SFA",465000,1,2017,70,2
"123","Brad Kaaya","QB",2017-10-25,"Practice",255000,1,2017,115,2
"124","Cameron Tom","C",2017-10-25,"SFA",510000,2,2017,73,2
"125","Jhaustin Thomas","DT",2017-10-25,"Practice",122400,1,2017,155,2
"126","Victor Salako","LT",2017-10-25,"Practice",122400,1,2017,87,2
"127","Chunky Clements","DT",2017-10-25,"Practice",122400,1,2017,155,2
"128","Blake Jarwin","TE",2017-10-26,"SFA",563867,3,2017,106,2
"129","Noble Nwachukwu","EDGE",2017-10-30,"Practice",122400,1,2017,236,2
"130","Marquavius Lewis","EDGE",2017-10-31,"Practice",122400,1,2017,238,2
"131","Rodney Adams","WR",2017-11-01,"Practice",465000,1,2017,320,2
"132","Jason Croom","TE",2017-11-01,"Practice",465000,1,2017,163,2
"133","Donatello Brown","CB",2017-11-03,"SFA",465000,1,2017,274,2
"134","Colin Thompson","TE",2017-11-07,"Practice",122400,1,2017,175,2
"135","Johnny Mundt","TE",2017-11-11,"SFA",465000,1,2017,162,2
"136","Brandon Banks","DE",2017-11-11,"SFA",465000,1,2017,88,2
"137","Josh Tupou","DT",2017-11-11,"SFA",510000,2,2017,138,2
"138","Jarell Carter","CB",2017-11-13,"Practice",122400,1,2017,294,2
"139","Colin Holba","LS",2017-11-14,"SFA",510000,2,2017,42,2
"140","Travis Averill","C",2017-11-14,"Practice",122400,1,2017,83,2
"141","Sojourn Shelton","CB",2017-11-14,"Practice",122400,1,2017,294,2
"142","Ricky Ortiz","FB",2017-11-14,"Practice",204000,1,2017,32,2
"143","Jake Eldrenkamp","",2017-11-15,"Practice",122400,1,2017,NA,2
"144","LeShun Daniels","RB",2017-11-15,"Practice",122400,1,2017,187,2
"145","Orion Stewart","S",2017-11-15,"Practice",122400,1,2017,213,2
"146","De'Veon Smith","RB",2017-11-18,"SFA",465000,1,2017,180,2
"147","Jeremy Liggins","DT",2017-11-21,"Practice",122400,1,2017,155,2
"148","Brady Sheldon","LB",2017-11-21,"Practice",122400,1,2017,307,2
"149","Carlton Agudosi","WR",2017-11-22,"SFA",510000,2,2017,298,2
"150","Marcus Sayles","CB",2017-11-22,"Practice",122400,1,2017,293,2
"151","Zach Conque","TE",2017-11-24,"Practice",170000,1,2017,170,2
"152","Steve Donatell","TE",2017-11-28,"Practice",122400,1,2017,174,2
"153","Bobo Wilson","WR",2017-11-29,"SFA",510000,2,2017,297,2
"154","Patrick Gamble","EDGE",2017-11-29,"Practice",122400,1,2017,244,2
"155","Isaac Whitney","WR",2017-11-29,"SFA",510000,2,2017,297,2
"156","Jeremiah Valoaga","EDGE",2017-11-29,"Practice",465000,1,2017,227,2
"157","Dare Ogunbowale","RB",2017-11-29,"Practice",122400,1,2017,191,2
"158","Darius Victor","RB",2017-11-29,"Practice",122400,1,2017,191,2
"159","Raysean Pringle","CB",2017-11-30,"Practice",122400,1,2017,292,2
"160","Michael Clark","WR",2017-12-01,"SFA",465000,1,2017,324,2
"161","Marcus Rios","CB",2017-12-01,"SFA",480000,2,2017,271,2
"162","Cameron Malveaux","EDGE",2017-12-02,"SFA",510000,2,2017,219,2
"163","Brandon Reilly","WR",2017-12-05,"SFA",555000,3,2017,210,2
"164","Jason King","RG",2017-12-05,"Practice",122400,1,2017,69,2
"165","Leo Koloamatangi","",2017-12-05,"Practice",144500,1,2017,NA,2
"166","Josh Thornton","CB",2017-12-05,"Practice",122400,1,2017,295,2
"167","Jhaustin Thomas","DE",2017-12-07,"Practice",122400,1,2017,93,2
"168","Rashaad Coward","RT",2017-12-09,"SFA",510000,2,2017,67,2
"169","Riley Bullough","LB",2017-12-12,"SFA",510000,2,2017,282,2
"170","Damien Mama","RG",2017-12-12,"SFA",510000,2,2017,59,2
"171","Otha Peters","LB",2017-12-12,"SFA",555000,3,2017,213,2
"172","Dominique Hatfield","CB",2017-12-12,"Practice",122400,1,2017,294,2
"173","Nigel Harris","LB",2017-12-13,"Practice",122400,1,2017,307,2
"174","Jason Thompson","S",2017-12-13,"Practice",122400,1,2017,215,2
"175","Akeem Judd","RB",2017-12-13,"SFA",510000,2,2017,175,2
"176","Colby Pearson","WR",2017-12-13,"Practice",122400,1,2017,360,2
"177","Dymonte Thomas","S",2017-12-14,"SFA",472500,2,2017,204,2
"178","Brandon Bell","LB",2017-12-15,"SFA",510000,2,2017,281,2
"179","Jarveon Williams","RB",2017-12-16,"SFA",555000,2,2017,142,2
"180","Breon Borders","CB",2017-12-16,"SFA",555000,3,2017,199,2
"181","James Onwualu","EDGE",2017-12-19,"Practice",122400,1,2017,249,2
"182","Fish Smithson","S",2017-12-19,"SFA",555000,3,2017,165,2
"183","River Cracraft","WR",2017-12-19,"Practice",122400,1,2017,359,2
"184","Jordan Moore","S",2017-12-20,"Practice",122400,1,2017,218,2
"185","Connor Harris","LB",2017-12-20,"Practice",122400,1,2017,310,2
"186","Marquez Williams","FB",2017-12-23,"Practice",122400,1,2017,33,2
"187","Pharaoh Brown","TE",2017-12-23,"SFA",472500,2,2017,168,2
"188","Brandon Greene","RT",2017-12-23,"SFA",472500,2,2017,71,2
"189","Quincy Adeboyejo","WR",2017-12-26,"SFA",465000,1,2017,325,2
"190","C.J. Board","WR",2017-12-26,"Practice",122400,1,2017,357,2
"191","Montay Crockett","WR",2017-12-26,"SFA",472500,2,2017,323,2
"192","Brandon Barnes","TE",2017-12-26,"Practice",170000,1,2017,178,2
"193","Francis Kallon","DE",2017-12-27,"Practice",122400,1,2017,93,2
"194","Austin Duke","WR",2017-12-27,"Practice",122400,1,2017,358,2
"195","Alek Torgersen","QB",2017-12-27,"Practice",122400,1,2017,119,2
"196","Tre'Von Johnson","LB",2017-12-27,"SFA",505000,3,2017,291,2
"197","Jonathan Moxey","CB",2017-12-27,"Practice",122400,1,2017,298,2
"198","KD Cannon","WR",2017-12-27,"Practice",122400,1,2017,358,2
"199","Johnathan Calvin","EDGE",2017-12-27,"Practice",122400,1,2017,250,2
"200","Xavier Woodson-Luster","LB",2017-12-27,"Practice",122400,1,2017,312,2
"201","Tyrone Swoopes","TE",2017-12-30,"SFA",472500,2,2017,170,2
"202","Daniel Williams","WR",2017-12-30,"Practice",122400,1,2017,358,2
"203","Mo Alie-Cox","TE",2018-01-01,"SFA",525000,2,2017,153,2
"204","Maurice Fleming","CB",2018-01-01,"SFA",525000,2,2017,259,2
"205","Dontez Ford","WR",2018-01-01,"SFA",525000,2,2017,295,2
"206","Kennan Gilchrist","EDGE",2018-01-01,"SFA",525000,2,2017,223,2
"207","Bryce Jones","CB",2018-01-01,"SFA",525000,2,2017,259,2
"208","Andre Patton","WR",2018-01-02,"SFA",480000,1,2017,344,2
"209","Artavis Scott","WR",2018-01-02,"SFA",480000,1,2017,344,2
"210","Fadol Brown","DE",2018-01-02,"SFA",480000,1,2017,93,2
"211","Keon Hatcher","WR",2018-01-02,"SFA",480000,1,2017,344,2
"212","Jordan Simmons","LG",2018-01-02,"SFA",480000,1,2017,84,2
"213","Malcolm Lewis","WR",2018-01-02,"SFA",525000,2,2017,298,2
"214","Drew Morgan","WR",2018-01-02,"SFA",525000,2,2017,298,2
"215","Joby Saint Fleur","EDGE",2018-01-02,"SFA",480000,1,2017,245,2
"216","Robert Tonyan","TE",2018-01-02,"SFA",480000,1,2017,174,2
"217","Shakir Soto","DT",2018-01-02,"SFA",480000,1,2017,152,2
"218","Josh Augusta","DT",2018-01-03,"SFA",480000,1,2017,153,2
"219","Cameron Johnston","P",2018-01-03,"SFA",532500,2,2017,35,2
"220","Adam Zaruba","TE",2018-01-03,"SFA",526250,2,2017,151,2
"221","Anthony Kukwa","LS",2018-01-04,"SFA",480000,1,2017,47,2
"222","Francis Owusu","WR",2018-01-04,"SFA",525000,2,2017,296,2
"223","Ejuan Price","EDGE",2018-01-08,"SFA",600000,2,2017,170,2
"224","Sae Tautu","LB",2018-01-08,"SFA",480000,1,2017,299,2
"225","Anthony Firkser","FB",2018-01-08,"SFA",525000,2,2017,31,2
"226","Rickey Jefferson","S",2018-01-08,"SFA",480000,1,2017,214,2
"227","Gehrig Dieter","WR",2018-01-08,"SFA",525000,2,2017,299,2
"228","Kent Taylor","TE",2018-01-08,"SFA",570000,3,2017,110,2
"229","Jon Toth","C",2018-01-09,"SFA",570000,3,2017,60,2
"230","Joel Bouagnon","RB",2018-01-10,"SFA",480000,1,2017,197,2
"231","Marcelis Branch","S",2018-01-15,"SFA",525000,2,2017,204,2
"232","Daniel Brunskill","RG",2018-01-15,"SFA",525000,2,2017,64,2
"233","Deante Burton","WR",2018-01-15,"SFA",525000,2,2017,299,2
"234","J'terius Jones","EDGE",2018-01-15,"SFA",525000,2,2017,228,2
"235","Alex Gray","S",2018-01-15,"SFA",480000,1,2017,218,2
"236","Keith Kelsey","LB",2018-01-16,"SFA",480000,1,2017,305,2
"237","Travin Dural","WR",2018-01-16,"SFA",525000,2,2017,300,2
"238","Jeremy Boykins","CB",2018-01-16,"SFA",525000,2,2017,268,2
"239","Denzel Johnson","LB",2018-01-16,"SFA",525000,2,2017,287,2
"240","Alex Jenkins","EDGE",2018-01-16,"SFA",480000,1,2017,251,2
"241","Casey Sayles","DE",2018-01-18,"SFA",480000,1,2017,93,2
"242","Malik Golden","S",2018-01-19,"SFA",480000,1,2017,218,2
"243","Tyler Ferguson","QB",2018-01-19,"SFA",525000,2,2017,114,2
"244","Praise Martin-Oguike","EDGE",2018-01-20,"SFA",480000,1,2017,250,2
"245","Brooks Ellis","LB",2018-01-22,"SFA",525000,2,2017,287,2
"246","Hunter Dimick","EDGE",2018-01-22,"SFA",525000,2,2017,226,2
"247","Horace Richardson","CB",2018-01-23,"SFA",525000,2,2017,269,2
"248","Tim Cook","RB",2018-01-23,"SFA",525000,2,2017,179,2
"249","James Summers","RB",2018-01-29,"SFA",480000,1,2017,198,2
"250","Trey Griffey","WR",2018-02-01,"SFA",480000,1,2017,358,2
"251","Cody Hollister","WR",2018-02-06,"SFA",480000,1,2017,361,2
"252","David Jones","S",2018-02-06,"SFA",480000,1,2017,220,2
"253","Damarius Travis","S",2018-02-06,"SFA",480000,1,2017,220,2
"254","D.J. Killings","CB",2018-02-07,"SFA",525000,2,2017,269,2
"255","Tre Sullivan","S",2018-02-07,"SFA",525000,2,2017,204,2
"256","Billy Brown","TE",2018-02-09,"SFA",535000,2,2017,154,2
"257","Winston Craig","DT",2018-02-20,"SFA",525000,2,2017,147,2
"258","Dalton Crossan","RB",2018-02-22,"SFA",525000,2,2017,181,2
"259","Dylan Bradley","EDGE",2018-03-16,"SFA",480000,1,2017,220,2
"260","Josiah Price","TE",2018-03-21,"SFA",480000,1,2017,164,2
"261","Christian Kuntz","LB",2018-03-22,"SFA",480000,1,2017,259,2
"262","Roubbens Joseph","LT",2018-04-04,"SFA",525000,2,2017,73,2
"263","Parker Collins","C",2018-04-09,"SFA",480000,1,2017,79,2
"264","Adam Pankey","LG",2018-04-17,"ERFA",555000,1,2017,62,2
"265","T.J. Mutcherson","S",2018-05-07,"SFA",480000,1,2017,215,2
"266","Natrell Jamerson","S",2018-05-11,"Drafted",681406,4,2018,121,2
"267","Buddy Howell","RB",2018-05-11,"UDFA",572500,3,2018,141,2
"268","Karter Schult","EDGE",2018-05-14,"SFA",481000,1,2017,268,2
"269","Brad Lundblade","C",2018-05-14,"SFA",480000,1,2018,98,2
"270","Jason Hall","S",2018-05-15,"SFA",525000,2,2018,235,2
"271","Thomas Sperbeck","WR",2018-05-17,"SFA",480000,1,2017,418,2
"272","Jonah Trinnaman","WR",2018-05-23,"SFA",480000,1,2018,423,2
"273","Taj Williams","WR",2018-06-04,"SFA",525000,2,2018,377,2
"274","Algernon Brown","FB",2018-06-14,"SFA",480000,1,2017,49,2
"275","Mike Needham","LB",2018-06-20,"SFA",480000,1,2018,342,2
"276","Ryan Yurachek","FB",2018-06-22,"SFA",480000,1,2018,49,2
"277","Frank Ginda","LB",2018-07-24,"SFA",480000,1,2018,346,2
"278","Izaah Lunsford","DT",2018-07-25,"SFA",480000,1,2017,193,2
"279","John Flynn","LG",2018-07-26,"SFA",525000,2,2017,88,2
"280","Malik Reaves","CB",2018-07-26,"SFA",480000,1,2018,358,2
"281","Kayaune Ross","WR",2018-07-26,"SFA",480000,1,2018,435,2
"282","Marvin Bracy","WR",2018-07-28,"SFA",480000,1,2017,433,2
"283","Lorenzo Jerome","S",2018-07-30,"SFA",555000,1,2017,211,2
"284","Michael Dunn","RT",2018-07-31,"SFA",480000,1,2017,102,2
"285","DeAndre Goolsby","TE",2018-07-31,"SFA",480000,1,2018,215,2
"286","Jamar McGloster","RT",2018-07-31,"SFA",480000,1,2018,102,2
"287","Henry Poggi","FB",2018-08-01,"SFA",480000,1,2018,48,2
"288","Ricky Jeune","WR",2018-08-01,"SFA",525000,2,2018,388,2
"289","Josh Okonye","CB",2018-08-01,"SFA",480000,1,2018,359,2
"290","Ricky Ali'ifua","EDGE",2018-08-03,"SFA",480000,1,2017,284,2
"291","Cory Helms","LG",2018-08-04,"SFA",480000,1,2018,101,2
"292","Quincy Mauger","S",2018-08-09,"SFA",480000,1,2017,261,2
"293","Colin Jeter","TE",2018-08-11,"SFA",480000,1,2017,214,2
"294","Jalen Wilkerson","DE",2018-08-11,"SFA",525000,2,2018,101,2
"295","Aaron Davis","CB",2018-08-11,"SFA",525000,2,2018,329,2
"296","Alex Officer","C",2018-08-11,"SFA",480000,1,2018,102,2
"297","Ryan Neal","S",2018-08-11,"SFA",525000,2,2018,241,2
"298","Amari Coleman","CB",2018-08-11,"SFA",480000,1,2018,362,2
"299","Mike Jones","CB",2018-08-11,"SFA",480000,1,2018,362,2
"300","Lord Hyeamang","DE",2018-08-12,"SFA",480000,1,2018,109,2
"301","Ray Lawry","RB",2018-08-13,"SFA",480000,1,2018,224,2
"302","Tion Green","RB",2018-08-15,"SFA",600000,2,2017,129,2
"303","Kiante Anderson","EDGE",2018-08-15,"SFA",480000,1,2018,284,2
"304","Jason Reese","TE",2018-08-19,"SFA",480000,1,2018,214,2
"305","Kareem Are","RG",2018-08-20,"SFA",480000,1,2017,101,2
"306","Joshua Kalu","S",2018-08-20,"SFA",570000,3,2018,191,2
"307","Beau Nunn","RG",2018-08-20,"SFA",480000,1,2018,101,2
"308","Elijah Battle","CB",2018-08-20,"SFA",480000,1,2018,361,2
"309","Warren Long","LB",2018-08-20,"SFA",480000,1,2018,349,2
"310","Leon Johnson","RT",2018-08-21,"SFA",480000,1,2018,101,2
"311","Dominick Sanders","S",2018-08-21,"SFA",525000,2,2018,241,2
"312","Nigel Williams","DT",2018-08-22,"SFA",480000,1,2017,198,2
"313","Juante Baldwin","CB",2018-08-24,"SFA",525000,2,2018,326,2
"314","Daniel Marx","FB",2018-08-26,"SFA",480000,1,2018,46,2
"315","Ironhead Gallon","S",2018-08-27,"SFA",480000,1,2017,259,2
"316","Lenard Tillery","RB",2018-08-27,"SFA",525000,2,2017,211,2
"317","Larry Rose","RB",2018-08-28,"SFA",480000,1,2018,223,2
"318","Carlos Henderson","WR",2018-09-02,"Practice",129200,1,2017,486,2
"319","Brendan Langley","CB",2018-09-02,"Practice",170000,1,2017,381,2
"320","Nico Siragusa","LG",2018-09-02,"Practice",129200,1,2017,109,2
"321","Roderick Johnson","LT",2018-09-02,"Practice",129200,1,2017,106,2
"322","Isaac Asiata","RG",2018-09-02,"Practice",129200,1,2017,106,2
"323","Avery Moss","EDGE",2018-09-02,"Practice",129200,1,2017,302,2
"324","Brian Allen","CB",2018-09-02,"Practice",129200,1,2017,382,2
"325","Jeremy Clark","CB",2018-09-02,"Practice",129200,1,2017,382,2
"326","Pita Taumoepenu","EDGE",2018-09-02,"Practice",129200,1,2017,302,2
"327","Isaiah Ford","WR",2018-09-02,"Practice",129200,1,2017,486,2
"328","Kyle Fuller","LG",2018-09-02,"Practice",129200,1,2017,109,2
"329","Jack Tocho","S",2018-09-02,"Practice",363000,1,2017,274,2
"330","Keion Adams","EDGE",2018-09-02,"Practice",480000,1,2017,284,2
"331","Cole Luke","CB",2018-09-02,"Practice",129200,1,2017,382,2
"332","Pasoni Tasini","DT",2018-09-02,"Practice",129200,1,2017,205,2
"333","Kent Perkins","LT",2018-09-02,"Practice",129200,1,2017,106,2
"334","Taquan Mizzell","RB",2018-09-02,"Practice",129200,1,2017,237,2
"335","Tim White","WR",2018-09-02,"Practice",480000,1,2017,439,2
"336","Cole Croston","LT",2018-09-02,"Practice",129200,1,2017,106,2
"337","Calvin Munson","LB",2018-09-02,"Practice",129200,1,2017,369,2
"338","Jordan Roos","RG",2018-09-02,"Practice",129200,1,2017,106,2
"339","Dan Skipper","RG",2018-09-02,"Practice",129200,1,2017,106,2
"340","Victor Salako","RT",2018-09-02,"Practice",129200,1,2017,105,2
"341","Andrew Brown","DT",2018-09-02,"Practice",129200,1,2018,205,2
"342","Daurice Fountain","WR",2018-09-02,"Practice",129200,1,2018,486,2
"343","Dylan Cantrell","WR",2018-09-02,"Practice",129200,1,2018,486,2
"344","Tanner Lee","QB",2018-09-02,"Practice",129200,1,2018,142,2
"345","Colby Gossett","RG",2018-09-02,"Practice",129200,1,2018,106,2
"346","Danny Etling","QB",2018-09-02,"Practice",129200,1,2018,142,2
"347","David Williams","RB",2018-09-02,"Practice",129200,1,2018,237,2
"348","Quentin Poling","LB",2018-09-02,"Practice",129200,1,2018,369,2
"349","Marcell Ateman","WR",2018-09-02,"Practice",129200,1,2018,486,2
"350","James Looney","DE",2018-09-02,"Practice",129200,1,2018,116,2
"351","Kendrick Norton","DT",2018-09-02,"Practice",129200,1,2018,205,2
"352","Kendall Donnerson","EDGE",2018-09-02,"Practice",129200,1,2018,302,2
"353","Steve Ishmael","WR",2018-09-02,"Practice",129200,1,2018,486,2
"354","Dee Delaney","CB",2018-09-02,"Practice",129200,1,2018,382,2
"355","Darius Jackson","LB",2018-09-02,"Practice",129200,1,2018,369,2
"356","Lyndon Johnson","EDGE",2018-09-02,"Practice",129200,1,2018,302,2
"357","Allen Lazard","WR",2018-09-02,"Practice",129200,1,2018,486,2
"358","K.C. McDermott","LT",2018-09-02,"Practice",129200,1,2018,106,2
