"","full_name","position","overview","pros","cons"
"35","Chris Godwin","Receiver","Godwin has an intriguing skillset as he has enough wiggle to create separation as a route-runner but he’s at his best when winning at the catch point on contested catches. His speed doesn’t always show 90 up on tape, but he’s savvy enough to win down the field and add an intermediate and deep threat to an 80 offense. Godwin should also be an early contributor on special teams due to the aggressive blocking ability that he has displayed in the run game.","Deep threat: 14 catches for 504 yards (20th among NCAA WRs) and 7 touchdowns on passes thrown 20-plus yards. Runs the post route very well. Caught 10-of-13 targets for 330 yards and two scores on posts. Beats defenders physically at the catch point on contested passes. Uses his body well to keep cornerbacks off him. Shows the ability to adjust to poorly thrown passes. Catches the ball in traffic, using his frame to box out defensive backs; will make tough catches in the middle of the field. Finished 10th among all NCAA wide receivers in blocking grade in 2016. 1st down conversion Aggressive, physical blocker in the run game. Effective crack blocker against linebackers and safeties, though effort can be inconsistent in this area. Has some wiggle at the top of his routes.","Speed doesn’t always show up against man coverage, especially given his 4.42 40 time at the combine. Does not consistently separate against man coverage. Not explosive in the open field (4.5 YAC, 294th/510 NCAA WRs, nine broken tackles on 59 catches). Average hands, 7.8 percent drop rate in 2016 (129th of 262 NCAA WRs), 8 percent in 2015 (141st/332)."
"36","Taywan Taylor","Receiver","Taylor brings shifty route-running and good acceleration to the , so he should be able to separate and provide a valuable weapon in the passing game. He’s not great at the catch point, and he can have trouble adjusting to off-target throws, but Taylor is coming off a productive career at Western Kentucky 30 and he his deliberate route-running style is a good fit for any offense.","Excellent downfield threat as he has exceptional playing speed and can take the top off a defense. Knows how to read defenses and coverages and adjusts his routes to take advantage of what the defense does and to find the coverage’s soft spots. Can work the middle of the field in traffic as he is not afraid of contact and can absorb hits right after catching the football. More physical than what his size would suggest and therefore presents a rare speed-physicality combination. Uses his quickness well both during route-running in coming out of his breaks and also when the ball is in his hands after the catch. 1st down conversion Has an excellent first step against press coverage and gets immediately next to the defender where he can win with speed. Plays his best when it matters the most as he put together his best performance in the Conference Solid showing in 1-on-1 drills during Senior Bowl practice.","Has inconsistent hands and body catches passes, which leads to drops and occasional double catches. Does not seem to be physical enough at the catch point to win contested catches on a consistent basis. Often has difficulty adjusting to off-target throws."
"37","Cooper Kupp",NA,"Kupp is one of the most exciting prospects in the draft class, in that there is very little he can’t do on the football field. He’s likely never going to be the fastest or strongest player on the field, but he’s quick, he’s smart, he has phenomenal hands and he knows exactly where he needs to be to get the ball. Concerns about his outside receiver potential are mostly overblown (he averaged 5.11 yards per route run outside the slot in 2016). His performance during Senior Bowl week showed that he can play just 76.9% 2095 15.0 886 6.3 11.5 23 7 as well against higher levels of competition. Kupp may not have the flashiness of some of the other 76.5% 1704 14.6 702 6.0 11.1 17 6 receivers in this class, but he very well could be one of the best in it.","Really strong hands. Doesn’t wait for the ball to come to him, he’ll attack it at the catch point. Rarely loses in contested catch situations. Plays faster than his 40 time, especially for his size. Very smart player, recognizes different coverages and will adjust his routes to find the open space. Good footwork, strong in and out of his cuts. Was able to beat tight coverage at the line of scrimmage with feet. Great after the catch, can make defenders miss with shifty moves but also big enough to drive through tackle attempts. Good route-runner, can disguise routes with head and feet fakes and double moves. Very good at using his body at all levels, can box out defenders and use his size to get jump balls. 1st down conversion Uses his hands well to win at the catch point.","Acceleration can be an issue. Takes him a bit to get going, may not have that kind of time and space against NFL players. While he was effective at running every route he ran, scheme at Eastern Washington limited those routes. Will need more experience running more complex routes. Sometimes seems to run a little upright which can slow him down in and out of his breaks. Competition level. There were times where Kupp was clearly just a bigger and better athlete than some of the defenders he played against. This won’t be the case in the NFL."
"38","Chad Hansen","Receiver","Hansen can still be viewed as a work-in-progress since he had only one season as a starter at anschool. However, he already proved that he excels at some aspects of the game, including catching the deep pass and making contested receptions on the sideline. While Hansen is not a final product yet, his skill set should help him contribute on screen passes and as a deep threat already in Year 1 in the NFL.","Very physical at the point of catch and can muscle the ball away from the defensive back, which makes him a solid target in the end zone. Excellent at high pointing the ball and winning contested catches over cornerbacks. Terrific deep threat as he can adjust and separate from the cornerback with his positioning when the ball is in the air. Has a large catch radius and has good enough hands to haul in slightly inaccurate passes. Elusive on quick passes such as screens and often gets past the first defender. Has good awareness, which allows him to make tough sideline catches. Can get down to the ground quickly to catch slightly inaccurate low passes. 1st down conversion","Does not attack the football on a consistent basis on short passes and therefore often allows defenders to make a play on the ball. Despite his good hands, he does not trust them enough and lets too many passes in to his pads, although, he has improved in this aspect towards the end of his junior season. Although his cuts are sharp, he is relatively slow out of his breaks. While he is physical at the catch point, he can be disrupted, rerouted and occasionally even pushed out of bounds early in the play by physical cornerbacks. Not as sharp running in/out cuts."
"39","Isaiah Ford",NA,"Ford is a tough player to evaluate, because he does some things very well but just doesn’t seem to have every piece to be a top receiver. He’s not big and strong enough to outmuscle defenders, he’s not fast enough to just burn them, but he does have impressive body control to make catches in tight coverage. His quick footwork that allows him to beat press coverage and get open out of his breaks, as well as his ability to win jump balls makes him a solid receiving prospect. His ceiling may be a WR2, but 58.7% 2967 14.1 812 3.9 8.3 24 18 that’s very valuable in today’s .","Great use of hands during routes. He can use them to help beat press off the line, he uses them to create slight separation during his routes and can use them at catch point. Good body control, able to high-point 50/50 balls and has good awareness of field surrounding to come down inbounds if near the sideline. Can track the ball well in the air and adjust his route to optimal positioning for the catch. Quick feet, separated well on slant routes where he caught 12-of-19 targets for 136 yards in 2016, though he did drop four of those seven incompletions. Can generally beat press coverage with a combination of his hands and footwork. Good, strong hands at catch point, can win contested catches with them. Can be really quick and explosive in and out of his breaks. 1st down conversion Really sells his double moves and created separation often on stop-and-go routes.","Speed doesn’t show on tape. Had a hard time creating separation on routes using speed alone. Use of hands during routes can also be a negative, as some of his work would be called for offensive pass interference in the NFL. Can get muscled downfield by corners, has missed many catches because of the combination of lack of separation and unable to get off the defender’s body at catch point. Didn’t run a ton of routes at Virginia Tech. 67 percent of his routes were slants, hitches and go routes. Doesn’t offer much after the catch. Rarely breaks a tackle and doesn’t show a ton of vision or quickness on screen passes. Forced only 18 missed tackles on 210 catches over the last three years. 100 Concentration issues. Has had inexcusable drops in games and appears to not run full speed at times 80 during games."
"40","Mack Hollins","Receiver","Hollins is a big-time sleeper in this draft. Hardly anyone is talking about him but his tape is extremely 10 impressive. He scored 20 touchdowns in three seasons at , and 15 of them were on deep passes (20-plus yards in the air). Almost all of them looked the exact same, with Hollins blowing past a defenderor two, catching it in stride and gliding into the end zone. He’s still a work in progress, as his route-running isn’t perfect. But his game speed and deep-threat ability is so off-the-charts on tape that he has the potential to be a very good NFL receiver. He also adds instant special teams impact, which teams should covet.","No matter what the 40 time says, Hollins can and will run right by defenders with a long stride and once he’s at full speed it’s hard for anyone to catch him. Tracks the ball well, can catch over his shoulder without losing speed, but also showed the ability to catch underthrown contested balls by going up and high-pointing. Can adjust route if ball poorly placed. Surprisingly strong and quick cuts on breaks of routes, doesn’t lose a lot of speed and doesn’t tip them often. Can beat press coverage with a variety of moves. Plus if he beats press, he’s gone. Catches with his hands, showed much improvement from 2015 to 2016 (6 drops on 36 targets to 1 drop on 17 targets). 1st down conversion Played every facet of special teams and was a captain, can contribute there right away for an NFL team.","Not a big route variety. While he showed some nice breaks on in and out routes, he rarely ran them. Didn’t show much after the catch in terms of making guys miss. Forced only three missed tackles in three years. Not a lot of experience on contested jump balls. Doesn’t mean he can’t win those, just rarely saw them in college."
"41","Carlos Henderson",NA,"Henderson is another very interesting prospect, simply due to coming from a smaller school in Louisiana Tech. But make no mistake, Henderson has tools that teams will covet. His limited route-running and inexperience with press coverage will likely see him take on a smaller role at receiver early on. But his after-the-catch ability was so impressive that whichever team drafts him should really try to get him 59.2% 2850 19.7 1260 8.7 11.6 28 14 touches whenever they can, and hope he can develop into a solid starting receiver down the road. He 59.9% 1530 18.7 785 9.6 11.2 19 4 should also be an impact kick returner right out of the gate.","Explosive player. Can turn even the simplest screen pass into a big play. Is the best after-the-catch receiver in the entire draft class, has phenomenal field vision and knows when and where to cut to make guys miss. Quick feet, both with routes and with ball in hands. Can juke defenders out of their shoes. Good deep speed, can get past guys on go routes and has the speed to pull away from them after catching the ball. Strong hands, not afraid to make catch over the middle even when he knows he’s going to take a hit. Good acceleration, wastes no time in exploding off the line and getting up to full speed. Can stop to make a catch and power up to speed in just a couple of steps. Shows quick footwork off the line to set up routes. Excellent kick-return ability; averaged over 32 yards per return last season and scored two touchdowns. 1st down conversion","Very limited route tree with wide open scheme. Mostly ran either quick screen plays to get the ball into his hands, go routes or hitches with defenders way off him. Bigger, stronger defenders were able to body him off his routes and away from catch points. Small catch radius and struggles on contested catches. Let ball come to him more frequently than he should have, resulting in some drops or plays where a defender could make a play on the ball when he shouldn’t have been able to. Rarely faced press coverage. At times he showed the ability to beat it with his footwork off the line, but saw it so infrequently it’s impossible to judge how he’ll do against press consistently. Level of competition questions, a lot of times he was simply the best athlete on the field by a wide 80 margin. May not be the case at the next level."
"42","Juju Smith-Schuster","Wr","Smith-Schuster is a solid outside receiver with the potential to contribute right out of the gate in the . Concerns about the drop in production from 2015 to 2016 are mostly overblown (new quarterback, 67.2% 3092 14.5 1291 6.1 9.8 25 15 fewer targets) as he didn’t look any worse on tape and actually showed slight improvement in route 66.7% 914 13.1 384 5.5 8.7 10 4 running from year-to-year. He still needs to be more consistent at the catch point, and can’t let smaller 67.4% 1454 16.3 594 6.7 11.0 10 9 defenders throw him off his route. His lack of separation ability may present a problem against stronger, 67.5% 724 13.4 313 5.8 9.1 5 2 faster players. But If he can be more efficient with his cuts and routes to make up for that, he could develop into a solid outside receiver.","Strong, physical receiver who likes to use his size to his advantage. Better than expected in open field, great vision for finding open space and good feel for the location of closest defender. Very hard to bring down at times, smaller defenders bounce off him and he keeps his legs moving, fights for extra yards. Catches with his hands, and those hands are very strong. Can caught ball fully extended and hold on even after instantaneous hit. Can make some ridiculous-looking catches. Ability to beat press coverage off the line with multiple moves, using both hands and quickness. Able to read ball in the air well and adjust his route as he needs to. Has shown the ability to go up and get 50/50 jump balls, though it’s inconsistent. Separates well on curls/comebacks. Good feel for getting open against zone coverage. 1st down conversion","Doesn’t have top-end speed. Almost never separates completely against corners because of this. Loses at the catch point too often. Sprinkles in spectacular catches, but would not consider “contested catches” to be a strength. While his hands are strong, has had some concentration drops at times. Dropped 15 passes on 228 catchable target the last three years. Almost needs underthrown deep balls that he can high-point. Doesn’t do well trying to catch ball on the run, over-the-shoulder. Can get bodied more than he should, has let smaller defenders throw him off his route and push him around. Doesn’t have the sharpest cuts on certain breaking routes (thought markedly improved in 2016 from 2015)."
"43","Ardarius Stewart",NA,"Stewart is a quietly solid receiving prospect in this draft class. While not at the level of some of the top players, whatever team drafts Stewart will be getting a solid receiver right off the bat. His explosiveness and competitiveness will carry over to the and should allow him to contribute right away, even in a small role. If he can handle press and man coverage and work on running more efficient routes, it wouldn’t be surprising to see Stewart develop into a nice No. 2 receiver in the .","After-the-catch ability. Stewart is very strong with the ball in his hands. He knows when to make a cut to make a defender miss, but has no problem putting his shoulder down and running through someone. Good speed and excellent acceleration. Very quick feet. Used in screen/jet sweep game a lot because of his ability to get up to top speed almost instantly. Big catch radius. Long arms and good jumping ability, if the ball is anywhere near him that gives him a chance to make the catch. Intelligent player, can recognize zones and knows how to find and settle into open holes. Physical and very willing run-blocker, shows no fear no matter who he’s blocking.","1st down conversion Route-running can be an issue. Sometimes slow out of his breaks, gives them away and can’t create separation on intermediate routes. Has 11 drops over the past two seasons and a few more plays where he didn’t show the strongest hands in contested situations. Body catches more than he should (even though has shown strong hands at times). Runs east-west more than north-south. Sometimes even went backward trying to do too much. Played against almost exclusively zone defense, rarely got pressed at the line of scrimmage. May not be able to beat man coverage right off the bat. Struggled to separate against teams like Washington and Clemson and their good corners."
"44","Josh Reynolds","Receiver","There’s a lot to like about Reynolds game and it makes him an intriguing prospect for the draft. He can immediately contribute as a dangerous red-zone threat, he’s that good in that area. He should bea deep-threat option for whichever team drafts him, with his strong hands and tracking ability likely to translate well to the NFL game. He’ll need to improve his route-running and ability to beat press coverage if he wants to be anything more than that. But he should be an effective second or third option early on in the NFL.","Deep-threat receiver. Has long strides and can break away from coverage once he gets up to full speed. Great in-air ball tracking skills. Knows how to adjust routes to make tough catches on deep routes. Strong hands, can make tough catches in contested situations with them. Knows how to high-point balls and come down with them. Long arms, huge catch radius. Throw it anywhere near him and he’ll put himself in a good position to make the catch. Strong red-zone option, possibly the best end-zone fade-route threat in this draft class. Deceptively shifty after the catch. Won’t break many tackles but can find open space and make plays. 1st down conversion Had a great showing in the Senior Bowl, catching a couple of deep passes and a touchdown.","Long strider, so takes time to get up to full speed. Will likely never be a great underneath receiver because he lacks quickness in and out of breaking routes. Thin frame, can get bodied at the line of scrimmage and during routes by physical corners. Has struggled separating against strong corners at times. Limited route runner, may only be a deep threat. Occasionally body catches, which will result in drops or double catches, may be more of an issue in"
"45","Trent Taylor",NA,"While Taylor isn’t getting as much hype as his teammate (Henderson), he’s still an effective receiver who should find a place in the . He’ll never be anything more than a slot receiver, but that’s a very important position in today’s . Taylor is extremely quick with strong hands, and knows how to read 75.6% 3921 13.1 2050 6.8 9.9 30 12 a defense and find openings. He’s a guy that plays with a chip on his shoulder that will motivate him 80.1% 1816 13.3 1055 7.7 10.6 12 4 against bigger athletes. He should be able to contribute as a slot receiver fairly quickly.","Possibly the best hands of the entire class. Rarely drops ball or has it in a position for a defender to make a late play on it. Will hold onto ball even through big hit. Prototypical undersized slot receiver with no fear going over the middle. Will lower his shoulder into defenders much bigger than him. Smart player, will adjust routes depending on coverage. Finds holes in zones. Quicker than fast. Doesn’t have elite top end speed but is so quick at changing direction and getting up to speed that it makes up for it (evidenced by great 20- and 60-yard shuttle times at NFL combine). Good route-runner, doesn’t just go underneath like some slot receivers but will attack intermediate area too. Solid after-the-catch receiver. Turns upfield as soon as he catches ball and looks to get as many yards as he can.","1st down conversion Very undersized. While not necessarily a weakness, there’s a difference between getting hit over the middle by an NFL linebacker vs a C-USA linebacker. Could lead to durability issues. Route breaks aren’t always as sharp as they could be. Faster NFL defensive backs would be able to keep up so will need to tighten his breaks. Small catch radius. While hands are phenomenal, will need quarterbacks to be fairly accurate when throwing to him to allow him to catch the football. Level of competition, much like his teammate Carlos Henderson but in a different way. With Louisiana to find holes in zones, beat his coverage man. Does not offer as much as a punt returner, 10.2 yards per return this year was his career high and has never returned one for a touchdown."
"46","Austin Carr","Receiver","Carr had incredible production this past season at Northwestern, and finished the year as ’shighest-graded receiver in the country, at 89.5 overall. He’s a slot receiver, and may not be anything more than that in the NFL, but that can still be a huge weapon for teams in today’s pro game. He runs smart routes and makes tough catches, and could be a reliable security blanket for a quarterback. There are definitely things he needs to improve on, such as catching the ball before it gets to his body and tightening up some of his breaks. If he can do that, he could very well find himself making big contributions from the slot at the NFL level.","Good, deliberate route runner; knows how to run the right routes to get open, makes adjustments based on coverage Intelligent player, knows how to read a defense and find holes in zone defenses Good acceleration, can get up to top speed quickly Strong hands when he extends them, can survive contact immediately after catch even with outstretched arms Good footwork to get open off the line. Didn’t get pressed much in the slot, but was able to beat it the times that he was Sees the field well with ball in his hands, won’t break many tackles but knows where to go to get the most yardage out of every play 1st down conversion Uses body well when catching, shields defenders out of the catch point; good in contested catch situations","Not overly fast, top-end speed may not be enough to consistently separate against NFL corners Body catches a lot rather than attacking the ball or extending his arms; doesn’t seem to need to, as he has really strong hands when he does extend, perhaps more of a habit than a necessity Unnecessarily jumps to catch passes in order to catch them in his body at chest level, rather than just extend his arms. Could cause issues against tighter coverage especially near sideline Doesn’t have the sharpest breaks on in- or out-breaking routes Doesn’t use fakes or disguise routes too often"
"47","Kd Cannon","Receiver","Cannon is an elite athlete that finished as one of the fastest receivers at the combine. Like most Baylor products, projecting him to running a full route tree can be difficult, but his speed and acceleration should play immediately at the next level.","Legit speed. Ran 4.41 at the combine and it shows on the field. Good acceleration. Reaches top speed quickly and really gets on cornerbacks. Should have success running the vertical route tree. Deep threat – ranked 14th among all NCAA receivers with 535 receiving yards on passes thrown 20-plus yards. Does a nice job tracking and adjusting to the ball in the air. Forced 12 missed tackles on 87 catches in 2016, and flashes the ability to break arm tackles with power in the open field. Hardly an impact blocker in the run or screen game, but his speed must be accounted for on every 1st down conversion snap, allowing the offense to create space underneath by sending him deep.","Limited route tree — 81 percent of 2016 targets were on hitches, go routes and screens, and 96 of 139 targets came outside the right numbers. This is common coming out of Baylor’s system, but it still leads to an adjustment period at the next level. Not an effective special-teams player despite his athleticism – averaged just 17.4 yards on seven kick returns in 2015, and was not used in that role in 2016. Average hands – finished in the middle of the pack in drop rate in each of the past three seasons. Even with his speed, averaged only 5.2 yards/reception on screens in 2016 (23 receptions, 119 yards)."
"48","Ishmael Zamora",NA,"NAof route running was a big question for Gordon. He was able to take that next step in the NFL (on the field only) and Zamora definitely has that same potential. Bottom line Zamora is a strange case of a receiver that may have a higher ceiling than any other receiver in this class, but is likely to be a late-round pick or go undrafted. Off-the-field issues aside (and there are big ones), Zamora has the combination of size, strength, and speed that could make him a nightmare in the NFL. His THREE YEAR STATS 117 72 61.5% 941 13.1 499 6.9 8.0 10 16 game needs plenty of refinement as his hands are frustratingly inconsistent and his route running is ex-","Size (6-foot-3, 224 pounds) and speed (4.53 40-yard dash at pro day) are ideal for NFL. Plays faster than 4.53 on tape at times, can separate from defenders with long, fast strides. Massive catch radius and strong hands, will extend for the ball and catch it away from his body. Made some insane inches-off-the-ground catches. Holds onto the ball after contact. Great body control on off-target passes, able to jump and twist in the air to make circus catches. Showed occasional explosiveness out of his breaks at rare times he was asked to make a breaking route, potential is there. Great subtle hands work at tops of his routes and catch point to win contested situations. Can stop and start on a dime, great for hitch routes and better for hitch-and-goes. Impressive footwork off of the line, made defenders look silly playing tight coverage. 1st down conversion % A monster after the catch, so strong and knows it. Will just lower his shoulder and run through defenders, rarely does just one person tackle him.","Inconsistent hands. Dropped 10 passes last season (73 catchable targets) and had a few fumbles. Very limited route-runner. Was not asked to run very many routes in Baylor system so does not have experience. On rare breaking routes he was sometimes slow out of his cuts, or he’d drift off expected route path at times. Doesn’t come back to the ball on hitch routes, waits for it to get to him. Led to some pass breakups by corners who were able to get back to him in time. Not as good at shielding defenders with his body at catch point as he should be. Let smaller defenders affect his catch attempt when he should’ve been able to shield them away from it."
"49","Josh Malone",NA,"Malone finally lived up to his recruiting hype with a strong 2016 campaign, adding a big-play dynamic to the Tennessee offense. He may not make an immediate impact, but he has the size, speed, and ball skills to add a vertical threat at the next level. There’s still work to be done to polish up other parts of his 59.7% 1621 15.4 571 5.4 9.2 14 9 game, but at only 21 years old and armed with quality tools, Malone is an intriguing mid-round prospect 67.6% 972 19.4 292 5.8 13.1 11 3 who may develop into a full-time, productive receiver.","Strong but soft hands. Catches the ball very well and has a solid catch radius. Ball does not need to be on target for him to catch it. Has made circus catches in the past. Has the size, strength and ability to win contested catch situations. Knows how to box defenders out and shield the ball. Can outrun defenders on go routes, has long strides and great tracking ability over his shoulder for deep routes. Ran a 4.40 40-yard dash at the NFL combine. Showed potential as a route-runner at all three levels of the field. Mostly ran go’s, hooks and crossing routes but showed some sharp breaks on slant routes. No fear crossing over the middle into linebacker territory. Always keeps feet churning, defensive backs had a hard time bring him down by themselves. Physical and aggressive player. Very willing (although raw) run-blocker. Extremely tough and durable, 1st down conversion never missed a game in three seasons at Tennessee.","Takes a long time to get up to speed. Really can’t separate unless he has a lot of space to run in a straight line. Not a “sudden” athlete so quick stop-and-go routes or breaking ones are not in his wheelhouse. Possible question of effort as there were only a few times all season where he actually looked like a 4.4-speed receiver. Most of the time he looked much slower. Lets ball get into his body on catches more often than he should. Struggled in minimal snaps against press coverage, was slow off the line and rerouted too often. Did not win a lot of 50/50 jump balls, not very good at high-pointing balls. Only jumped 30.5 inches 90 at combine, so may just not be a good jumper. Is better at using his body and adjusting to the ball in 80 the air, however. Doesn’t offer much in terms of an after-the-catch runner. Will throw a stiff arm to gain a few extra 40 yards but won’t actually break many tackles."
"50","Amara Darboh","Receiver","Darboh is a well-built, possession receiver with experience running the full route tree in a pro-style offense. He finished the 2016 season as one of the highest-graded run-blocking wide receivers in the country, which should allow him to earn immediate playing time on special teams at the level. Darboh has the ability to develop into a starting outside receiver, but his lack of elite athleticism limits his upside. 30","Well-rounded route tree, effective on underneath (screen, slant), intermediate (in/out) and deep routes (go, post). Build-up speed allows him to separate on deeper-breaking routes. Made a lot of contested catches against tight coverage. Ranked ninth of all NCAA wide receivers in blocking grade in 2016. Will make take big hits over the middle of the field to make tough catches. Solidly built receiver with the ability to break tackles with power – 17 broken tackles on 117 catches in 2015 and 2016 seasons. Consistently finds open space against zone coverage. 1st down conversion","Average hands – finished in the middle of the pack in drop rate in both 2015 and 2016. Takes time to get going, not as shifty as a route-runner in the short game. Inconsistent catching passes that are slightly inaccurate. Not spectacular after the catch."
"51","Malachi Dupre",NA,"Dupre has great size and deep speed that should make him an intriguing mid-round option for teams looking for a complementary receiver to take the top off a defense. His route-running means he’ll be limited to mostly vertical routes, especially early on, but he’s effective at those. He’ll need to get a little stronger in order to beat press coverage, and work on making more catches with his hands. He may never develop into a No. 1 receiver, but his size and speed combination are good enough that he could 56.0% 1611 16.4 418 4.3 9.2 14 9 grow into an effective deep-ball receiver in the .","Deep speed, has long strides and can get up to speed relatively quickly and run past defenders. Uses his size well, 6-foot-4 with long arms, and can just catch balls at a higher point than defenders can reach. Great deep-ball tracking ability, knows how to see ball in the air and adjust route so he catches it at an optimal point. Effective at finding holes in zones and adjusting his routes in order to exploit said holes. Strong after the catch, won’t make a lot of people miss but will run through smaller defenders and drag players. Made a number of catches in traffic out of the slot. Had 23 receptions for 255 yards out of the slot in 2016. Willing blocker, could use some work but more experienced than most. Often moved inline to block for LSU. 1st down conversion","Struggles against press coverage, can be taken completely out of the play by a strong corner jamming him at the line. Contested catches are an issue for him, doesn’t seem to have strong enough hands to pluck the ball out of the air and survive immediate contact. Not a great route-runner. Can run all the vertical routes but anything with sharp breaks he slows down a lot and gives it away, allows defenders to make up ground and impact route. Body catches more than he should, has dropped eight passes out of 92 catchable balls last two seasons. But also has double clutched balls and not looked confident at times with his hands."
"52","Ryan Switzer","Receiver","Switzer is another slot receiver in a class loaded with slot receivers. While he was extremely productiveat North Carolina, it may take some time for him to become a consistent NFL slot receiver. The biggest issue with Switzer is his small catch radius and lack of physicality at the catch point, which could be an issue in the wrong scheme or wrong quarterback. This may be improvable though, and his fantastic route running and quickness will help make up for these issues. He should latch on to a team right away though because of his special teams ability. He’ll be a punt-return threat right out of the gate while hopefully developing into a solid slot receiver down the line.","Quickness is his best attribute. He gets up to top speed almost immediately and doesn’t lose any speed when he changes direction. Great footwork. Can run every route with his very consistent breaks and stops, doesn’t give anything away or slow down. Consistent and strong hands. Dropped only 11 of 224 catchable throws over past three seasons (4.9 percent drop rate). Knows how to adjust routes depending on coverage. Can quickly find holes in zones. Smart receiver, successfully ran option routes in tight situations (red zone, third and short, etc). Very good release off the line of scrimmage. Feet can beat press coverage (although he rarely faced it as he was in the slot most of the time). 1st down conversion Excellent punt returner, has seven career returns for touchdowns.","May not be fast enough to separate on anything deep so will be primarily forced to run short routes. Has a very small catch radius. Doesn’t always extend his hands to catch, will let ball come into his body. Doesn’t drop many but will require a very accurate quarterback to put it on him every throw. Struggles to adjust to throws that are behind him. Often runs past them and can’t twist around to make the catch. Small and not extremely physical. Will struggle in contested catch situations and can get outmuscled at catch point by stronger defenders."
"53","Tanner Gentry",NA,"NA","Has a large catch radius as he can make extremely athletic receptions including one-handed receptions close to the sideline. Excels in the scramble drill and can get open late in the play as he provides a wide open target for his quarterback. Has experience in playing in the slot and wide as well and also ran all routes on the route tree. Turns his head back to the quarterback very quickly right after his break and uses his head well to sell double moves. Physical at the catch point as he can absorb a hit right after the catch and can also fight through defenders to adjust and get to the ball. Smart route-runner who might not run the sharpest routes, but knows how to gain leverage against the defender on deep routes prior to his break. 1st down conversion % Can catch passes in traffic and work the middle of the field from the slot. Recognizes coverages and can adjust his route to what coverage the defense plays.","VHe is sometimes slow off the line of scrimmage and even takes a false step before releasing to start his route. Is hesitant to turn upfield after the catch and is not elusive with the ball in his hands; therefore, cannot be considered a weapon after the reception as he averaged only 3.0 yards after the catch in 2016. Doesn’t use his hands to separate or to beat press coverage at the line of scrimmage. Can be hesitant and therefore struggle against press coverage. catch radius and athletic ability, which allow him to make circus catches on off-target passes. Gentry has the ability and upside to develop into an NFL starter, but first he will need to gain experience against press coverage and how to beat against man coverage as he has not faced a lot of that over his college career."
"54","Noah Brown","Receiver","Brown is a physical, well-built receiver that uses his long arms and above-average catch radius to his advantage in a variety of situations. He is one of the most fearless blockers in the draft class, and 40 repeatedly put both linebackers and defensive back on the ground as a major cog in the Ohio State rushing attack. He still has a lot of work to do as a route-runner, but the big-play potential is there as he 10 develops his game while likely contributing on special teams early in his career.","Accelerates into his routes. Can run the vertical route tree and threaten cornerbacks. Makes some spectacular catches. Large catch radius, uses his long arms to catch the ball away from his body. Will make contested catches in traffic and secures the ball through big hits over the middle of the field. Uses his big frame to shield defenders from the ball, excels at boxing out defensive backs in the end zone. Uses his hands well as a route-runner. Flashes an effective stiff arm after the catch; the first defender often bounces off him despite his low YAC total. Ranked 18th of all NCAA WRs in blocking grade in 2016, consistently pancakes and decleats 1st down conversion defensive backs. Physical and competitive on crack blocks against both linebackers and safeties and looks to block through the whistle.","Slow in and out of his breaks on horizontal routes. Small sample size – missed the 2015 season due to injury, and was seventh on the WR depth chart in 2014 (130 snaps, 1 target). Only 50 targets in his career, 49 of which came in 2016. Not explosive in the open field, averaged just 3.1 YAC/reception in 2016. May not provide much in the short and intermediate game. Dropped three out of 35 catchable passes in 2016."
"55","Jalen Robinette","Receiver","Robinette projects as an outside receiver in the , with prototypical size for the position. He is one 100 of the better receivers in the class when it comes to making contested catches, but lacks the speed and quickness to consistently separate from defensive backs. Quality of competition is definitely a 70 concern, especially given his quiet performances in the Senior Bowl and Shrine game. Robinette is raw, 50 but should be able to contribute as a red-zone target early on, and has the potential to develop into a 40","Deep threat: ranked sixth among all NCAA WR’s with 699 yards on passes thrown 20-plus yards, and caught all 17 catchable targets. Excellent hands – just one drop on 36 catchable passes in 2016. One of the best in the class at coming down with contested passes, has some highlight-reel catches on tape. Will secure the ball through big hits in the middle of the field. Prototypical size for the position; long arms and leaping ability give him an above-average catch radius.","Quality of competition – faced few NFL-caliber defensive backs in the Mountain West, and was a non- 1st down conversion factor in both the Senior Bowl (0 targets) and the Shrine game (2 catches for 11 yards and a dropped pass on 3 targets). Small sample size – AF ran on about 75 percent of plays in 2016, will be an adjustment from option offense into pro-style offense in NFL . Not an impact blocker in the run game – earned average run-blocking grades despite playing in a run-heavy offensive system. Top-end speed is adequate at best, will likely struggle to get open against NFL cornerbacks on vertical routes. Adjustment period was evident through some struggles during Senior Bowl practice."
