player_name,position,college,consensus,text_source,sc_prediction,p_cornerstone,p_53_man,p_roster_bubble,p_out_of_league,sc_top_words,sc_words_against,sc_feat_consensus,sc_feat_round,sc_feat_position,sc_feat_beast_rank,sc_feat_text_length,sc_top_measurable,sc_top_measurable_contrib,draft_prediction,p_slide,p_consensus,p_reach,draft_top_words,draft_words_against,draft_feat_consensus,draft_top_measurable,draft_top_measurable_contrib,pred_apy_pct,pred_apy_pct_lo,pred_apy_pct_hi,p_real_contract,expected_apy_pct,apy_top_words,apy_words_against,apy_feat_consensus,apy_feat_round,apy_feat_beast_rank,apy_top_measurable,apy_top_measurable_contrib
Eric McAlister,WR,TCU,225,beast,roster_bubble,0.6,10.4,81.0,8.0,receiving(+0.0051) | school history(+0.0041) | in school(+0.0040) | receiving yards(+0.0037) | second(+0.0037),special(-0.0030) | seasons in(-0.0025) | key(-0.0023),0.0081,0.5152,0.4177,0.2736,-0.0065,vert_jump,0.8863,slide,50.3,16.1,33.6,tall(+0.0110) | receiving(+0.0092) | receiving yards(+0.0091) | yards in(+0.0077) | catches(+0.0076),best(-0.0097) | teams(-0.0067) | special teams(-0.0066),-0.0753,arm,-0.2425,0.759,0.657,0.86,11.0,0.084,000(+0.0002) | big(+0.0001) | yards in(+0.0001) | receiving yards(+0.0001) | school(+0.0001),after(-0.0002) | catch(-0.0002) | route(-0.0002),-0.0037,-0.1339,-0.0546,hand,-0.028
Caleb Douglas,WR,Texas Tech,226,beast,roster_bubble,0.6,16.9,69.0,13.6,games(+0.0072) | focus(+0.0054) | receiving(+0.0048) | vertical(+0.0038) | tied for(+0.0038),play with(-0.0036) | how to(-0.0033) | above(-0.0031),0.0084,0.5152,0.4177,0.1369,0.0532,vert_jump,0.8869,slide,36.9,35.2,27.9,too many(+0.0088) | catches(+0.0084) | receiving(+0.0082) | windows(+0.0074) | fbs with(+0.0061),return(-0.0075) | need to(-0.0074) | final(-0.0068),-0.0787,wingspan,0.2838,0.633,0.532,0.735,17.5,0.111,the past(+0.0003) | extension(+0.0003) | six(+0.0002) | games(+0.0002) | past(+0.0002),how to(-0.0003) | routes(-0.0003) | how(-0.0003),-0.0039,-0.1339,-0.0273,hand,-0.057
JMichael Sturdivant,WR,Florida,227,beast,roster_bubble,1.1,5.8,68.0,25.1,39(+0.0045) | line(+0.0041) | career(+0.0038) | improved(+0.0036) | catch(+0.0035),lack(-0.0051) | consistently(-0.0046) | explosiveness(-0.0041),0.0088,0.5152,0.4177,0.0,0.2549,height,-0.0,consensus,34.9,38.3,26.9,best(+0.0123) | consistently(+0.0096) | that(+0.0090) | suited(+0.0084) | high school(+0.0072),up at(-0.0093) | into(-0.0086) | he posted(-0.0085),-0.1677,height,-0.0,0.78,0.679,0.881,6.9,0.054,times(+0.0002) | star recruit(+0.0002) | star(+0.0002) | school(+0.0002) | pounds(+0.0002),routes(-0.0003) | catch(-0.0002) | lack(-0.0002),-0.0041,-0.1339,-0.0,height,-0.0
Carver Willis,OT,Washington,228,beast,out_of_league,0.9,26.0,24.6,48.5,will(+0.0045) | center(+0.0044) | run game(+0.0041) | likely(+0.0041) | quick(+0.0040),needs to(-0.0032) | can(-0.0030) | needs(-0.0029),0.0371,1.6556,0.333,0.0034,-0.012,40yd,0.8072,consensus,26.8,40.3,32.9,fluid(+0.0073) | hand(+0.0066) | super senior(+0.0057) | lead(+0.0055) | super(+0.0053),washington(-0.0063) | into contact(-0.0057) | guard(-0.0057),-0.1747,40yd,0.2697,0.844,0.743,0.945,26.9,0.227,center(+0.0002) | just(+0.0002) | based(+0.0002) | in pass(+0.0002) | times(+0.0002),washington(-0.0003) | at washington(-0.0002) | stay on(-0.0002),-0.0043,-0.1339,-0.0022,hand,0.0333
Bryson Eason,DL,Tennessee,229,beast,roster_bubble,0.5,11.8,51.7,36.0,defensive line(+0.0053) | line(+0.0053) | games(+0.0037) | he can(+0.0035) | 39(+0.0034),when he(-0.0037) | to be(-0.0036) | when(-0.0034),0.0095,0.5152,-0.203,0.0213,0.107,vert_jump,0.9061,consensus,2.0,74.5,23.5,player(+0.0076) | games the(+0.0075) | get off(+0.0059) | his get(+0.0055) | best(+0.0052),heavy(-0.0099) | tends(-0.0079) | tends to(-0.0079),-0.1817,3cone,1.1681,0.72,0.619,0.822,12.3,0.089,made(+0.0003) | the past(+0.0002) | to be(+0.0002) | defensive(+0.0002) | linebacker(+0.0002),tape(-0.0002) | length(-0.0002) | tends(-0.0002),-0.0044,-0.1339,-0.0043,3cone,-0.048
Lorenzo Styles,CB,Ohio State,230,beast,53_man,1.9,43.8,37.3,17.0,right(+0.0048) | develop(+0.0047) | to develop(+0.0047) | with his(+0.0045) | feel(+0.0044),keep(-0.0045) | past two(-0.0040) | take(-0.0031),0.0303,-0.528,-0.1473,0.074,-0.0316,broad_jump,0.459,slide,83.6,4.0,12.5,straight line(+0.0085) | straight(+0.0084) | brother(+0.0082) | below average(+0.0076) | below(+0.0076),special teams(-0.0156) | special(-0.0126) | on special(-0.0117),-0.0924,broad_jump,1.3435,0.718,0.616,0.819,45.8,0.328,until(+0.0002) | made(+0.0002) | have(+0.0002) | based(+0.0002) | tight(+0.0002),cornerback(-0.0003) | combine(-0.0002) | after(-0.0002),-0.0046,-0.1339,-0.0252,hand,-0.0312
Eli Heidenreich,WR,Navy,231,beast,roster_bubble,1.0,10.3,67.6,21.0,percent(+0.0071) | receiving(+0.0065) | receiving yards(+0.0059) | school history(+0.0046) | in school(+0.0045),pass catcher(-0.0037) | out(-0.0036) | out of(-0.0035),0.0102,0.5152,0.4177,-0.0943,0.0211,vert_jump,0.8875,slide,70.1,11.7,18.1,receiving yards(+0.0144) | receiving(+0.0117) | target(+0.0080) | are(+0.0077) | plus(+0.0063),catching(-0.0083) | return(-0.0076) | backfield(-0.0068),-0.0958,broad_jump,1.526,0.786,0.685,0.888,11.3,0.089,slot(+0.0003) | limits(+0.0003) | receiving yards(+0.0002) | percent(+0.0002) | have(+0.0002),routes(-0.0002) | catching(-0.0002) | tracks the(-0.0002),-0.0048,-0.1339,0.0188,wingspan,-0.0174
Brandon Cleveland,DL,NC State,232,beast,roster_bubble,1.3,20.5,48.5,29.7,line(+0.0052) | down the(+0.0041) | games(+0.0036) | cleveland(+0.0034) | he can(+0.0034),ground(-0.0034) | doesn(-0.0033) | added(-0.0030),0.0106,0.5152,-0.203,0.0108,0.1162,vert_jump,0.9061,consensus,6.7,78.8,14.4,weight(+0.0099) | dirty(+0.0077) | ground(+0.0073) | work(+0.0067) | the dirty(+0.0064),late to(-0.0066) | late(-0.0064) | heavy(-0.0059),-0.2026,3cone,1.213,0.724,0.623,0.826,21.8,0.158,nc(+0.0003) | nc state(+0.0003) | not have(+0.0002) | have(+0.0002) | just(+0.0002),versus(-0.0003) | after(-0.0002) | the middle(-0.0002),-0.0049,-0.1339,-0.0022,3cone,-0.0498
Jeremiah Williams,EDGE,Texas A&M,233,beast,roster_bubble,0.9,29.4,51.7,18.0,basketball(+0.0033) | he can(+0.0033) | old(+0.0032) | team(+0.0032) | line(+0.0029),williams(-0.0113) | tackle(-0.0048) | it(-0.0039),0.011,0.5152,-0.1762,0.0528,0.0913,height,-0.0,consensus,27.8,41.6,30.6,williams(+0.0120) | he was(+0.0109) | was(+0.0079) | you(+0.0077) | left tackle(+0.0072),starting(-0.0100) | space(-0.0057) | in space(-0.0057),-0.2095,height,-0.0,0.791,0.689,0.892,30.3,0.239,recruit(+0.0002) | made(+0.0002) | he committed(+0.0002) | committed(+0.0002) | high(+0.0002),after(-0.0002) | leading the(-0.0002) | basketball(-0.0002),-0.0051,-0.1339,-0.0105,height,-0.0
Tyren Montgomery,WR,John Carroll,234,beast,roster_bubble,1.5,17.5,54.2,26.8,percent of(+0.0049) | percent(+0.0041) | better(+0.0036) | program(+0.0031) | old(+0.0030),instincts(-0.0037) | the nfl(-0.0037) | nfl(-0.0036),0.0113,0.5152,0.4177,0.2631,0.0326,height,-0.0,reach,40.2,18.9,40.9,return(+0.0085) | senior(+0.0080) | competition(+0.0073) | his first(+0.0061) | green(+0.0059),instincts(-0.0081) | route(-0.0066) | receiving(-0.0058),0.3225,height,-0.0,0.701,0.6,0.802,19.0,0.133,worked(+0.0003) | school(+0.0002) | made(+0.0002) | based(+0.0002) | body to(+0.0002),air(-0.0003) | route(-0.0003) | the air(-0.0003),-0.0053,-0.1339,-0.0525,height,-0.0
