"","full_name","school","blurb1","blurb2","pros_a_cons"
"141","Jaylon Moore","W MICHIGAN","Jaylon Moore was originally recruited to Western Michigan as a two-star tight end, per 247Sports, out of Detroit’s Voyageur Consortium High School in 2015. He played offensive line, defensive line and tight end throughout his preps career. His only offer came from Western Michigan. School","Western Michigan has churned out quite a few offensive tackle prospects in recent years. Willie Beavers, Taylor Moton and Chukwuma Okorafor have all been drafted from the Broncos in the past five years. Moore looks like he'll be next in line, as he brings a prodigious physical skill set to the table. JAYLON MOORE He's a juiced-up 311-pounder who caved in opposing defensive ends. He possesses the kind of quicks and explosiveness to continue to do the same in the NFL, but he's just so unpolished. He has gifts. Moore is a project, but one with a legit payoff.","First step off the line surprises defenders. Gets on you in a hurry. Moves seemingly without even trying. Defenders go backward one-on-one. Massive -inch hands. Makes latching a lot easier. Makes backside cutoffs look like child's play. -- Feet stall too easily. Digs in on contact and can't recover whatsoever. Plays way out over his toes. Impossible to stay balanced. You may not find better raw physical tools for a guard in the draft Base is so inconsistent. No rhyme or reason to it. class. But why didn't that translate to quality play in the ? Does himself no favors with his stance. Feet almost less than shoulder width apart."
"142","Dillon Radunz","N DAKOTA ST","Radunz’s late father moved his family to Becker, Minnesota, to provide his eldest son with the best opportunity to pursue his dream of winning football championships. Radunz would go on to start his junior and senior years at left tackle for Becker High School, aiding in their back-to-back Minnesota Class 4A state championship victories. Despite the school’s success, Radunz was deemed a two-star recruit and received just seven offers — only two of which were FBS schools in Missouri and Wyoming. Rather than trying his hand in the FBS, the 6-foot-6, 265-pound senior decided to stay closer to home and commit to the North Dakota State Bisons, thanks in large part to the personalities and coaching styles of head coach Chris Kliemen and School offensive line coach Connor Riley.","Radunz tore his ACL early in his redshirt freshman campaign in 2017. He started every game for the Bison since then, with 24 career pressures allowed on 715 pass-blocking snaps. Radunz is undersized at his listed 299 pounds, and it's worrisome that it already showed up on tape against FCS DILLON RADUNZ competition. He doesn't have a naturally large frame and arrived at North Dakota State at only 265 pounds. If he can continue to fill out, Radunz has shown the explosiveness and agility to be a","Glides in space. Can do anything you'd ask a * * tackle to do athletically. Explodes off the line of scrimmage. Can take guys for a ride at snap. Hand placement is tremendous in run game. Consistently gains leverage with inside placement. Mentality that line coaches will love. Mauls like a -- wrestler. Waist bender in pass protection. Anxious to get first contact because weak anchor. Run-heavy offense. Not a ton of pass sets on tape. Radunz needs to get considerably stronger before he's holding up Thin base. Will come into play far more against full-time at tackle in the . -caliber strength. Average grades considering competition. mark in ."
"143","Penei Sewell","OREGON","A consensus four-star recruit, Penei Sewell earned first-team all-league and all-state honors in his senior year at Utah’s Desert Hills in 2018. He drew more than 20 scholarship offers and took visits to Oregon, Alabama, Nevada, USC and Utah before committing to the Ducks in February 2018. Sewell was born in American Samoa but moved to Utah in 2012. His three brothers all play college football: Gabriel is a linebacker at Nevada, Nephi is a defensive back at Utah and Noah is a linebacker at Oregon. His uncles, Isaac Sopoaga and Richard Brown, also played football in the NFL. Football is in School the man’s blood.","For most prospects, only a year and a half of starting experience would be a tad worrisome. But most guys aren't Penei Sewell. He is a different breed altogether. You'd never guess he was pushing the scales at 330 pounds as a 19-year-old in 2019 the way he tracked down defenders in space. He PENEI SEWELL put together the highest-graded tackle season ever at the time and allowed only seven pressures all year. While the competition level wasn't great, no one came close to getting the better of him. He is","pounds, yet can mirror defensive backs in * * space. Special movement skills. High cut, but can still sink his hips and drive. Led nation in big-time blocks in (). Punch deadens on contact. Power throughout entire frame. Won't turn until the fall. Was dominating juniors -- and seniors as a -year-old. Screen-heavy offense at Oregon limited his true one-on-ones. Faced very few top-tier pass rushers in the Pac-. While Sewell's ceiling is debatable, he is one of the highest-floor Didn't get to see him in , as he opted out of tackle prospects to come out in some time. the season. Agility is good, not great. Others in the class adjust better in space."
"144","William Sherman","COLORADO","Will Sherman was a standout offensive lineman who blocked for Kyler Murray and won a state title at Texas’ Allen High School. He was considered a three-star recruit in 2017 and received more than 15 scholarship offers, including from Baylor, Houston, California and Colorado. He also threw the shot put and discus in track and field. School","Sherman is a three-year starter who bounced from left tackle in 2018 to right tackle in 2019 back to left tackle this past season. He consistently graded out well in the run game because he's an explosive specimen for the position. He has the ability to leverage and ride smaller edge defenders. WILLIAM SHERMAN There are major concerns in pass protection, though. His sets feel labored and unnatural. His landmarks are non-existent, and he continually puts himself in bad positions. There's so much ""bad""","Hands really clamp down when he finds pads. Requisite length for tackle to keep defenders at bay. Plus lower-body explosiveness. Shows when he rides defenders on the edge. Can fire out of his stance and gain depth even if -- the degree is inconsistent. Angles are all over the place in pass sets. Relationship continually gets out of whack. Carries hands at his side and throws off his timing. Sherman can really move for a late-round tackle. He's just not Noticeable waist bend, even in stance. Can't sit close to consistent enough for the game. back. Defenders just plow through his arms. Nothing to them."
"145","Rashawn Slater","NORTHWESTERN","Considered a consensus three-star offensive guard recruit coming out of Texas' Clements High School in 2017, Rashawn Slater received five total scholarship offers, per 247Sports: Northwestern, Illinois, Kansas, Rice and Wyoming. He committed to the Wildcats soon after an official visit in January 2017. Slater was a two-time first-team All-District honoree and competed in the shot put and discus events in his preps career, per Northwestern’s official athletic site. His father, Reginald, played eight seasons in the NBA with the Nuggets, Raptors and Timberwolves. School","Slater has been starting for Northwestern ever since he stepped on campus in 2017. He was one of the highest-graded true freshmen in the country at right tackle that season, posting a 75.0 overall mark. He finally switched to left tackle as a junior in 2019, and his stock took off. Slater was dominant. RASHAWN SLATER He put up easily the best tape anyone in college football had against Chase Young that season. His mirror ability is nothing short of special. The only question is, at 6-foot-3, whether he will stay on the","Feet are as impressive as you'll see from a tackle. ( Data – No Ranks or Percentiles) Could be a world-class tap dancer. Flies out of his stance. Makes up ground on defenders in a hurry in run and pass games. Processing speed is incredible. Adjusts to stunts/slants/blitzes in blink of an eye. Such a natural athlete. Can play anywhere on the -- offensive line. Anchor not ideal yet. Flatbacked too easily on tape and walked into pocket. Size and arm length will scare teams at tackle, although I still think he can get it done. Slater's tape is about as clean as it gets in the class. The only Rarely imposes will at the line of scrimmage. Not a question is whether teams will give him a shot on the outside. people mover. Didn't get to see him on the field in , as he opted out of the season."
"146","D’ante Smith","EAST CAROLINA","D’Ante Smith received more than 10 scholarship offers coming out of Georgia’s Grovetown High School as a three-star offensive tackle recruit in 2016. He picked East Carolina over offers from Illinois, App State and Coastal Carolina, among others. He recorded a 300-pound bench press and 530-pound squat in his preps career, per ECU’s official athletic site. He also lettered in wrestling. School","Smith was a multi-year starter in one of college football's pass-happiest offenses. When you flip on the East Carolina tape, he immediately sticks out. He has an incredibly lanky build — even by tackle standards — and is rail thin for a lineman. Unsurprisingly, he also jumps off the tape as soon as he D’ANTE SMITH moves, as he can make any block asked of him. Despite the multitude of reps he's taken in pass protection, Smith is still a massive project. He seemingly overcompensates for his lack of size by develop.","Ultra long. Over -inch arms. Ideal lineman build. ( Data – No Ranks or Percentiles) Moves like an athlete. Glides out of his stance. Still has some explosiveness in his lower half despite size. Can take defenders off the line. Came back for Senior Bowl and had one of the -- highest win rates in the one-on-ones. Under pounds. Jostled around by any sort of stiff punch. Nothing to his arms. Stronger defenders plow right through them. Smith possesses some of the best pure physical traits in the Out of control and lungy to overcompensate for class. You just wouldn't want him on a football field next fall. size. Puts everything he has into contact. Played only one game in after undisclosed injury vs. ."
"147","Cole Van Lanen","WISCONSIN","Cole Van Lanen was a team captain and a team MVP as a senior at Wisconsin’s Bay Port High School before committing to Wisconsin as a four-star offensive tackle, per 247Sports, in 2016. He received close to 15 scholarship offers throughout the recruiting process. He also finished as a state runner-up in both discus and shot put as a sophomore in high school. His father, Thomas, swept Wisconsin Division 2 state titles in discus and shot put in 1994. School","There was a time when it looked as if Van Lanen would follow in Ryan Ramczyk's footsteps as the next big thing at left tackle for Wisconsin. He earned a 90.8 overall grade in limited snaps as a sophomore in 2018. When he faced better competition over the past two seasons, though, his issues COLE VAN LANEN were exposed. Chase Young beat him like a drum in 2019, and we never saw Van Lanen's confidence rebound in 2020. He's athletic and has the size of a tackle, but his build is a little slim for the position","Coils hips and unloads on double teams. Had linemen five-plus yards downfield at times. Nimble all-around athlete. Mirroring comes easy. More latch than punch in pass protection. When he gets pads, he wins rep. Sniffs out stunts with little issue — both passing -- and receiving them. Thin frame with limited length for a tackle. Not an imposing presence. Struggles to stay square in pass pro. Flips hips outside on first contact and leaves soft edge. Van Lanen's tackle tape is a tough sell. It's like a guard in an Hands all over the place in pass sets. Uses them outside zone-heavy scheme. more to balance himself. Soft anchor. Power DEs could continually work him back to ."
"148","Landon Young","KENTUCKY","Landon Young was heavily recruited by all of college football’s top dogs, including Alabama, Auburn, Miami (Fla.) and Ohio State. He was considered a five-star offensive tackle coming out of Kentucky’s Lafayette High School in 2016. But despite the blue-blood interest, Young never left his home state. He committed to Kentucky after — from his perspective — a less-than-ideal visit with Ohio State. Per Cleveland.com, Young said he was “treated like crap” and that then-Buckeyes head coach Urban Meyer called him “an insubstantial player” during visits with the team. School","Young has gone through the ringer over the past four years in the SEC. He was manning the left tackle position in 2016 when the likes of Tennessee's Derek Barnett was lining up across from him. For the run-heavy offense Kentucky wanted to execute, Young was more than capable. He can LANDON YOUNG punish a down block or a double team. That's about where the NFL-translatable tools end. He's just going to get exposed in pass protection with how stiff he is. Quicker edge rushers, such as Georgia's","Plus size and length for the position. Requisite upper-body strength to manipulate defenders. Four years of starting experience at left tackle. -- Can't bend. Even in his stance, he's noticeably higher than rest of the . Poor depth in his pass sets. Always leaves him in a hurry. Young is below the movement skills threshold for tackles and Shows hands for too long in pass protection. Gets plays too high to covet inside. them knocked down repeatedly. Protected a ton in the passing game by Kentucky's offense."
"149","Christian Barmore","ALABAMA","A consensus four-star defensive tackle recruit coming out of Philadelphia’s Neumann-Goretti High School, Christian Barmore received more than 15 scholarship offers and took official visits to Alabama and Baylor before committing to the Crimson Tide. The then-6-foot-5, 290-pounder earned first-team All-Philadelphia honors and helped his team to an 11-1 record in his senior season. School","You really don't need much more tape on Barmore than what he showed in the College Football Playoff this year. Those may very well be the two most impressive performances put on tape by anyone in this defensive tackle class. He has an all-around defensive tackle body at 6-foot-5, 310 CHRISTIAN BARMORE pounds that can play any alignment between the tackles and create disruption. His only 747 career snaps aren't close to a worry with how impactful he was on them. His slow start in 2020 may give","Special flexibility for a man his size. Over once he gets to the side of a lineman. Ideal build to rush the passer from interior. Long limbs with power behind them. Advanced hand usage gives him a bunch of different ways to win as pass rusher. Shined on the biggest stages. pressures and ---- eight stops in the . Tape not consistently dominant. pressures vs. Tennessee and Florida in . Little high cut to kick into nose in the . Eating doubles not his game. Barmore's high-end games are up there with any defensive tackle Only one season as a starter. we've graded. He looks fairly -ready."
"150","Quinton Bohanna","KENTUCKY","Quinton Bohanna received six scholarship offers as a three-star defensive lineman coming out of Tennessee’s Cordova High School: Kentucky, Cincinnati, Louisville, Memphis, Ole Miss and Southern Miss. He committed to the Wildcats in February 2016. At Cordova, he recorded more than 75 total tackles and 10 sacks as both a junior and a senior. He was also a three-time member of the Tennessee Sports Writers Association Class 6A all-state team. School","I'm not sure there's another player in this defensive tackle class who can match the high-end reps that Bohanna has put on tape throughout his career. What he can do athletically for a player who weighs over 350 pounds is electric. However, he never flashed consistent dominance throughout his QUINTON BOHANNA Kentucky career. He graded between 70.2 and 75.4 in all four years of college. He's also not the every-down certainty in run defense you'd think he'd be at his size. And with how he plays, he may","Fills a doorway at -foot-, pounds. Behemoth. Rare attacking mentality as a pass rusher from a man his size. Legit power in his upper body. Ragdolls all over his % tape. Jaw-dropping first step at his size that takes ---- llinemen by surprise. Plays upright game and wins with hands instead of maintaining leverage. Not true hold-the-point . A lot of bad weight on his frame. Naturally big, but would be better served around . Bohanna could be a difference-maker if he gets his weight into more Never played more than snaps in a season. traditional nose tackle range. Not close to a full-time player. Limited closing ability even when he sheds blocks."
"151","Bobby Brown","TEXAS A&M","Bobby Brown was tagged as a four-star recruit coming out of Texas’ Lamar High School in 2018. He received close to 20 scholarship offers, including Texas A&M, Alabama, Florida State and Oklahoma. He originally committed to the Aggies, then to ‘Bama and then flipped his commitment back to Texas A&M. Before taking his talents to College Station, he recorded 40 tackles, six tackles for loss and three sacks as a senior at Lamar in 2017. School","Brown will likely be one of the more maddening evaluations in the class. His high-end reps in the run game are nothing short of special. His low-end reps, however, are far more frequent. He plays too loose for a position where down-to-down consistency is everything. Nose tackle is the one spot BOBBY BROWN where you can least afford someone getting out of their assignment, and Brown does it with regularity. He has rare flexibility and power for only a true junior that gives him a massive leg up. Now,","Big, long nose tackle. Very difficult to lock up one on one. Flashes some ridiculously good reps vs. double % teams where he still makes plays. Turns into an immovable object when he wants to. % Plays with strong, wide base. Easy block-shedding ability. Upper-body strength ---- matches lower body. No urgency to his rushes. Content to just churn his feet most of the time. On the ground a lot. Recurring balance problems. Brown has the tools to be a playmaking nose tackle, but his No Plan B as pass-rusher against linemen who inconsistent and undisciplined play style won't garner too many fans. could match his strength. Down-to-down consistency and discipline is iffy. Some concern for gap integrity."
"152","Austin Faoliu","OREGON","Austin Faoliu received close to 20 scholarship offers coming out of California’s Mater Dei High School as part of the 2017 recruiting class. He picked Oregon over offers from Oklahoma, Arizona and Baylor, among others. He was considered a consensus three-star defensive lineman and was named to the Orange County Register’s all-county team as a senior. He recorded 32 tackles, nine tackles for loss, 1.5 sacks and a forced fumble in 2016. He attended Junipero Serra High School for two years prior to transferring to Mater Dei and rushed for 351 yards and four touchdowns on 48 School carries as a sophomore there.","Faoliu looked like he was going to be something special after a sophomore campaign that saw him rack up 20 run stops on only 199 run snaps. That production declined in every year since, though. At his best, Faoliu is a throwback 3-4 defensive end with the ability to two-gap offensive tackles in the AUSTIN FAOLIU run game. He holds the point of attack well despite not being over 300 pounds. But when he's asked to attack, there's not much in the tank. That positional and role limitation combined with non-","Stout lower half to hold up in run game despite being a tad undersized. Consistent two-handed strike in the run game. Locks out and sheds well. Excellent block recognition in the run game. ---- Hands do very little for him. Gets locked up even as a pass-rusher. Rushes continually die on contact. No secondary moves. Faoliu's head-scratching decline in performance and inability to affect Straight-line player with little agility to threaten the passing game are hard sells. edges of guards. Stagnating production over the past two seasons. Sophomore tape so much better than senior."
"153","O’bryan Goodson","MEMPHIS","Tagged as a three-star recruit by 247Sports coming out of Mississippi’s South Panola High School in 2017, O’Bryan Goodson received offers from Memphis and Southern Miss. He was a three-year starter at South Panola and racked up 143 tackles, 50 tackles for loss and 13 sacks over that span. School","If there was a ""fun to watch"" Hall of Fame, Goodson would be in on the first ballot. He's a 5-foot-10, 276-pound nose tackle! Despite that, he was ridiculously productive over the course of his career as both a run defender and a pass rusher. He has some of the most physically dominant reps you'll see O’BRYAN GOODSON from any defensive lineman in this class. I truly think he could get by at his height with the way he plays the game, but size is the much bigger issue. That's just asking to be a liability in the run game at","One of most agile DTs in the class. Won't get him clean if he doesn't want you to. Fires his hands with a purpose. Like mini baseball bats. Man is non-stop. Exceptional balance. Pinballs off linemen on the interior. Numerous bull-rush pressures on tape despite ---- size. Always the low man. Ridiculously undersized at -foot-, pounds. One well-placed strike can bring him to his knees. Nothing behind him. Goodson is talented, but unless he can put on -plus pounds, he's Doesn't really have pass-rushing moves — just going to get tossed around in the . active hands. Got by at low level of competition."
"154","Ta’quon Graham","TEXAS","Ta’Quon Graham was a highly coveted four-star recruit coming out of Texas’ Temple High School as part of the 2017 class. He committed to Texas over offers from Oklahoma, TCU, Arkansas and Arizona State, among others. Graham was a first-team all-state selection as a junior but battled injuries that limited him in his senior season at Temple. In his junior campaign, he recorded 50 total tackles, 23 tackles for loss, 11.5 sacks and three forced fumbles. School","Graham has the body type that can fit into every defensive line in America. With a muscular frame and ridiculously long arms, he doesn't need a lot of technique to see an NFL field. That's good because there's not much refinement in Graham's game outside of his hand placement. He's TA’QUON GRAHAM excellent at stacking opposing offensive linemen, as evidenced by his 87.1 and 84.1 run-defense grades over the past two years. He's not yet excellent at shedding and making plays, as evidence by","Extremely long arms for a defensive tackle at nearly inches. -caliber first-step quickness. Juice to push the pocket. Trim pounds. Not a lot of bad weight. % Quick to lockout hands in run game and reset line ---- of scrimmage. Two-gap potential. Attacks as pass-rusher same way he does in run game. Doesn't play up to testing numbers. Only flashes quicks and not a consistently quick player. Graham is a bit of a tweener, but he has the requisite tools for Such a thin base to hold up on the interior in the development. full-time. Playmaking instinct isn't there. Late to locate ball carriers."
"155","Mustafa Johnson","COLORADO","Mustafa Johnson was a two-time Central California Conference Defensive Player of the Year in high school but received very little scholarship interest in 2016. He opted for the JUCO route and played his 2017 season at Modesto Community College. He recorded 58 total tackles and 6.5 sacks at Modesto and earned a three-star recruit status as a JUCO transfer. He picked Colorado over offers from Kansas and Oregon State. School","In his first year with Colorado after transferring from junior college, Johnson was a revelation. He racked up 50 pressures — oftentimes rushing off the edge — and was an all-around difference- maker. But after an injury-plagued 2019 season, we never saw that guy again. One major reason was MUSTAFA JOHNSON that Johnson had a big disparity between his production against lesser and better competition. Due to his very limited physical skill set, his lack of juice showed against superior teams and players.","Plays with consistent leverage. Staying low out of snap and through rush comes easy to him. Rip is his go-to. Will get skinny on the side of linemen when he deploys it. % Bulbous lower half. ---- Little burst off the snap. Not even impressive compared to own teammates. Difficult to hold up at nose in at listed pounds. Limits versatility. Johnson doesn't quite have the first step to make up for his lack of Limited length. Has trouble disengaging from size and length. blocks. Never took next step after breakout season."
"156","Carlo Kemp","MICHIGAN","Carlo Kemp recorded more than 200 total tackles, 14 sacks and one interception in his preps career at Colorado’s Fairview High School. He also rushed for 11 touchdowns as a junior, per Michigan’s official athletic site. He was a three-time all-conference and a three-time all-state player at Fairview, as well. Kemp received more than 10 total scholarship offers as a three-star recruit, committing to Michigan over offers from Colorado and Notre Dame as part of the 2016 recruiting class. School","Kemp finally nailed down a starting role as a redshirt junior in 2019 and was an impact player for the Wolverines for much of that year. His ability to fire off the ball at pace, either straight ahead or laterally, from any interior position fit perfectly in former defensive coordinator Don Brown's scheme. CARLO KEMP The element of surprise is pretty much the only way he won, though. When forced to play a skilled game one-on-one, Kemp often got shut down. That's an excellent starting point for a 3-technique,","Twitchy all-around athlete. Perfect for the slants and stunts Michigan ran. Knows how to get skinny and shrink strike zone for opposing linemen. Motor burns hot. Plays m.p.h. from snap to whistle ---- Got by on pure athleticism. Best plays come from shooting gaps. Thin frame, even for a pure -technique. Will get swallowed up vs. run. Kemp is a twitchy -technique who never quite developed. He needs to Often doesn't even use his hands as a pass- go to a one-gap scheme to have success. rusher. Plays borderline out of control. Will go to ground at the drop of a hat."
"157","Jonathan Marshall","ARKANSAS","A consensus three-star recruit coming out of Texas’ Shepherd High School in 2016, Jonathan Marshall picked Arkansas over offers from Oklahoma State, TCU and Nebraska, among others. He earned multiple all-state honors as a senior and recorded 71 total tackles, 21 tackles for loss and 10 sacks as a junior, per Arkansas’ official athletic site. He was also a four-year letterwinner in basketball and totaled over 1,100 points, 800 rebounds and 28 double-doubles in his preps career. School","Marshall was a sub-package guy in his first three seasons at Arkansas despite grading out fairly well in his second and third campaigns. When he finally got a full-time role in 2020, it was evident why. Marshall wears down far too easily over the course of drives and games. There's a lot of patty JONATHAN MARSHALL cake on tape after his initial move flames out. That's just not how NFL guys who win consistently on the interior are built. Hopefully, someone can light a fire under him, because he boasts legit","Flies off the snap. Comes off at a different pace from the rest of Arkansas line. Can sit low into his bull rush all the way into the 's lap when he wants to. % Wins in a number of ways as a pass rusher. With quicks, hands and power. Bowling ball on stunts. Brings a wallop as a ---- penetrator. Visibly gassed on tape at times in in his first year as full-time starter. When first move doesn't hit, he shows no urgency to counter. Marshall just doesn't quite have the requisite violence to his game to Hands late firing into contact too often. be an impact defensive tackle in the . Struggles removing hands from his pads."
"158","Alim Mcneill","NC STATE","Alim McNeill was a coveted recruit coming out of North Carolina’s Sanderson High School in 2018. He made more than 200 tackles playing linebacker on the defensive side of the ball and scored more than 30 offensive touchdowns in his preps career – and he did it at 6-foot-2, 272 pounds. He received more than 25 scholarship offers and ultimately made the decision to stay close to home by signing with NC State over Virginia Tech and Alabama, among others. School","Every defense known to mankind can use a run-stuffing nose tackle who can also consistently collapse pockets. With McNeil's explosiveness at 320 pounds, he could very well be that guy sooner rather than later. Even with little more than a first step in his repertoire, McNeil earned a 92.1 run- ALIM MCNEILL defense grade and a 77.5 pass-rushing grade this season. He showed marked improvement holding up to double teams compared to 2019. In a weak defensive tackle class, McNeil could pay big","As quick a -plus pounder as you'll see. Get-off that creates problems. Did not need much in the way of technique to still push the pocket. % Held up so much better to double teams in . Complete run defender. % Role not great for pass-rushing production. ---- Almost exclusively -technique. Not sure he has anything considered a pass-rush move in his arsenal. Just charges. Rushes the passer way too high. Spin moves looked like a figure skater. McNeil is a line-of-scrimmage resetter on the nose who could Big difference between him fresh and late in a make his presence felt as a pass rusher in time. series. More of a gap holder than a playmaker in the run game. Average stop numbers."
"159","Daviyon Nixon","IOWA","Daviyon Nixon was a four-year letterman in basketball and football at Wisconsin’s Indian Trail Academy. He earned all-state and all-conference honors playing offensive tackle and defensive end as a senior but was listed as just a two-star recruit in 2017. He played one year at Iowa Western Community College and then committed to the Hawkeyes as a three-star recruit in 2018. He recorded 44 tackles and five sacks in his one JUCO season. School","Your final evaluation of Nixon as a prospect is going to depend a lot on what tape you watch of him. If you catch the Northwestern game, where he had four sacks and six run stops, you might think he's a first-rounder. If you catch his Minnesota game, where he had two hurries and no run stops, you DAVIYON NIXON might not even want to draft him on Day 2. He's got a very solid all-around profile without a lot of weaknesses to his game. At the same time, there also wasn't a lot of dominance outside of that player with one year of starting experience.","Special feet quickness. Plays the position violently. Lights up the when penetrating on stunts. Stout, explosive base. Plays bigger than listed weight. A lot of ""scheme"" rushes (where he occupied ---- gaps) hurt his efficiency numbers. Consistent disruption never matched the splash plays. Locked up way more than you'd like from a top prospect. Not a great block-shedder. Nixon is a solid all-around defensive tackle but was too Got eaten up by hard combo blocks against infrequently a difference-maker. Wisconsin. Runs really hot and cold. Don't see that violence every play."
"160","Osa Odighizuwa","UCLA","Osa Odighizuwa never lost a match in four years as a wrestler at Oregon’s David Douglas High School, per Pamplin Media Group. He won three state championships, beating Aloha High School’s Cortez Rodelo with a one-point escape and a takedown in sudden death to cap off one of the best high school wrestling careers in Oregon’s history. Considered a three-star defensive tackle recruit at 6-foot-3, 250 pounds, Odighizuwa received just one college offer and took it, following his brother, Owa, to UCLA. School","Odighizuwa had big shoes to fill in a Bruins uniform after his older brother's career at UCLA. But don't think Owa's lack of success in the NFL will spell the same for Osa. The younger Odighizuwa is much more of an interior player who's capable of consistently pushing the pocket. At only 280 OSA ODIGHIZUWA pounds, Osa makes up for that lack of size with long arms and an exceptionally strong lower half. You'd never guess he's that light based on his tape. He often played a role for UCLA that wasn't pass-rushing situations in 2020.","Explosiveness and speed are pluses. even gave him some off-ball reps in . Heavy hands that allow him to play about his weight class on the interior. % Great length for his height with over -inch arms. Holds up well vs. tackles. Incredibly strong lower half. Always seems to ---- works linemen into pocket. Tweener body type at -foot-, pounds. Would be one of smallest DTs in the . Game lacks ferocity and urgency. So slow to counter. Odighizuwa can be a plus run defender from a number of Not as agile as you'd expect from an undersized different alignments and is coming along as a pass rusher. . Struggles to get completely free. Sticks on sides of blocks and unable to get hands off himself."
"161","The Usa Today Poll, With Future Heisman Trophy Winner And Now-Starting Quarterback For The Arizona Cardinals Kyler Murray At The Helm.","Michigan as his top out-of-state options.","Levi Onwuzurike played high school football for Texas’ vaunted Allen High School team. As a junior in 2014, Onwuzurike and the Allen Eagles won the state championship and finished No. 4 in the nation, according to LEVI ONWUZURIKE In 2015, Onwuzurike had a dominant senior season that saw him collect 53 tackles and 8.5 sacks en route to being named the Dallas area’s Defensive Player of the Year by the Dallas Morning News. His team finished 14- 1, reaching the Class 6A semifinals and ranking No. 20 in the final USA Today poll. Onwuzurike was listed as the No. 101 overall prospect in the country and the No. 12 defensive end in the nation by scout.com. He School wanted to leave Texas to play college football and chose the Huskies over Arizona State, Georgia and WASHINGTON","Onwuzurike was one player I was most looking forward to seeing develop in 2020, but unfortunately the world never got the chance to see him. He has the explosiveness necessary to be a difference-maker as a pass rusher in the NFL. It ran far too hot and cold on his tape in 2019 to get LEVI ONWUZURIKE on board with him early, however. Some of that can be chalked up to playing around one-third of his snaps out of position at nose tackle. You can tell he sometimes wasn't comfortable yet with his","One of the most explosive defensive tackles in ( Data – No Ranks or Percentiles) the country. Can fly off the line. Pop behind his hands. When everything fires in unison, he's tough to handle. Not much fat on his frame. Rocked up for a defensive tackle. Often played out of position at nose tackle yet still ---- graded out well. Late to react play after play. Dominant reps come too few and far between. One-hitter as pass rusher. Doesn't combo into second move if his first stalls. Onwuzurike never put it all together at Washington, but he can be Still needs to pack on mass. Pigeonholed into - a quality penetrating -technique in the . technique at current size. Production stalled as full-time starter, then opted out in ."
"162","Process But Still Was Recruited Heavily By Alabama Among Some Other Schools. However, He Never Wavered In His Commitment To The Tigers. He Grew Up Less Than An Hour Away From Lsu’s Campus. Shelvin Battled With","LSU","Listed at 6-foot-2, 376 pounds coming out of Louisiana’s Notre Dame High School, Shelvin was considered a four-star recruit by 247Sports and a five-star recruit by others. He committed to LSU very early in the TYLER SHELVIN weight and academic issues in his recruitment and early in his LSU career. He has to take an academic redshirt because the NCAA denied him full eligibility, per The Athletic. His weight rose as high as 390 pounds following that season, and he received a suspension in 2018 due to weight concerns. However, coach Ed Orgeron always believed in Shelvin’s potential and worked with his grandma, Silas Deborah, to keep him School focused on his weight and football.","Shelvin is one of the easiest prospects to peg in the entire draft class. Stick him over opposing centers and he'll eat double teams on first and second down like they're fast food. Shelvin has special power and flexibility for a man his size. Unfortunately, he wasn't moving the line of scrimmage TYLER SHELVIN much the other way, either, so don't expect him to impact the passing game. His weight will be an issue to watch, as he's reportedly gotten all the way up to 390 pounds and was listed at 362 before","As squatty a body as you'll see in college football. ( Data – No Ranks or Percentiles) Damn near immovable. First step at his size is different. Doesn't simply win with power. Can run a deadly stunt. Knows how to hide pads from offensive linemen and not get squared up against double teams. Been a quality run defender ever since he stepped ---- on campus as freshman in . Weight control will be a issue. Was reportedly up to last fall. Wasn't even trying to rush the passer in . Six pressures on rushes. Shelvin will stuff the run in the middle of your defense. That's Workload could be an issue. Unlikely to see him likely about it, though. playing -plus snaps. Only one year as a starter and didn't see snaps in after opting out."
"163","Tedarrell Slaton","FLORIDA","Tederrell Slaton was tagged as a four-star recruit by 247Sports and received more than 22 scholarship offers coming out of Florida’s American Heritage School as part of the 2017 class. He picked Florida over offers from Georgia, Alabama and Arkansas, among others. He was originally recruited as an offensive lineman but played on the defensive side of the ball as a true freshman with Florida in 2017 and never looked back. School","Slaton flashed early in his career when he had seven run stops on only 43 such snaps as a freshman in 2017. Those flashes never quite translated once he garnered a larger role, though. In fact, his lowest-graded season came in 2020 — his lone campaign with a full-time role. While he doesn't TEDARRELL SLATON give up on plays, his effectiveness noticeably wanes on a higher workload. If you're going to get by as a pure gap-plugger in the NFL, you better be in on every single snap. That hasn't been close to the","Can move a little for a big man. Has reps where he got home as a looper on stunts. Natural nose tackle build. Carries pounds well, mostly in lower half. % Fights to the end on reps. No quit when rush stalls. ---- Attacks with his hands wide, and placement suffers. Late to react and cut off easily on wide runs. Slaton has nose tackle mass but shows little more than being a big Plays higher than you'd like out of his stance. body on tape. Better centers got under him. Had issues finishing last year. Eight missed tackles on attempts."
