"","summary","pros_and_cons"
"150","Oladejo was a three-star prospect who played his first two college seasons at Cal in an off-ball linebacker role. He improved his PFF defensive grade each year in college, from 54.8 in 2021 to 56.4 in 2022 to 70.9 in 2023 to 73.8 in 2024. After two seasons with the Golden Bears, Oladejo transferred to UCLA. It wasn’t until two games into his senior season with the Bruins that he played the majority of his snaps in an edge role, so he lacks experience and a fully formed pass-rush repertoire. Oladejo impressed at Senior Bowl practices by winning the majority of his pass-rush one-on- one reps. He is an inexperienced pass-rusher that teams will want to take a chance on due to his athleticism and 33 3/8-inch arms.","Wins with athleticism and quickness as a run defender. Plays with effort to the whistle. Long arms keep blockers at a distance. Positional versatility and can play off-ball LB or on the edge. Overeager when tracking the ball carrier and gets out of his gap. Still inexperienced at the edge position with only 10 starts. Not a fully polished pass-rusher yet."
"151","Pearce has one of the quickest first steps you'll see of any rusher in this class and others. His feet fire fast, as do his hands. He can knock away offensive linemen's punches and has incredibly quick club, swipe and rip moves to get around the outside shoulder. He is not only very twitchy in his movements but also flexible, as he can get down in a 3/4-point stance and fire off the ball with leverage, though he does look more natural as a 2-point standout outside linebacker. As a run defender, he can get handled one-on-one against tackles and tight ends, but he does have some good speed-to-power pop versus the run. Though his pass-rush grade and win percentages are both already very high, he could have a true pass-rush plan more consistently. He could also more consistently launch off his front foot. His snap count is lower than most of his peers due to Tennessee's hockey-like defensive line lines that they would rotate throughout games.","Very twitchy player with an explosive first step. Decent speed-to-power punch given his low weight. Good anticipation for snap count/appropriate pre-snap shifts. Knows how to attack the half-man consistently. Excellent pursuit speed to the ball carrier. Light weight makes it easier to lock him up/get him to the ground. Not much flexibility to play him anywhere inside 5-tech. Need more of a true pass-rush plan more often."
"152","His shorter stature (6-foot-2, 240 pounds) does impact how well he can get off blocks and hold the line in run defense, but it also makes him a quick and explosive player. His speed and strength shine brightest when in a standup 3-4 OLB alignment where he can angle himself toward the pocket. His hand speed and precision are easy to love — his swipes, club and rip moves are very fast and allow him to stay clean up the arc when attacking the outside shoulder. In run defense, his initial first step gives him a good pop at contact thanks to speed-to-power conversion, but his leg drive quickly dies out after that. He also lacks the consistent leverage to be surprisingly strong and durable in true run defense assignments. His pass-rush bag is pretty deep headed into the NFL, led by a strong and effective spin move.","More compact frame does give him some good power/burst. Powerful spin move that he uses at the right times. Hand usage is generally precise and effective with leverage. Very fast hands for swipes, clubs and rips to stay clean. Shorter strides limit how much ground he covers. Lower percentile arm length does show up against NFL-level OTs. Lack of arm length limits pass-rush moves."
"153","Robinson, after playing mainly behind Will Anderson Jr., Chris Braswell and Dallas Turner in a talented edge room, got his chance to start at Alabama as a redshirt senior in 2024. He played in just nine games, missing the rest due to an elbow injury, and recorded only 341 snaps over the past two years. At 6-foot-4 with 33 1/2-inch arms, he brings adequate NFL height and length to the edge. His weight (around 243 pounds) is lighter than ideal, but he plays strong. His first-step explosiveness was the catalyst for a 19.0% pass-rush win rate over the past two seasons. That speed rush can be even better if he becomes comfortable firing off his front foot instead of his back foot in his stance. Robinson’s game lacks diversity. He has a strong long-arm move, but he doesn't have much of a pass-rush plan aside from winning with speed and length. His lateral quickness is effective, but his bend is a bit stiff for being just a speed rusher.","Ideal height and length for the NFL. Length gives him an advantage with stack and shed. Most comfortable rushing from a two-point stance. Very good first-step burst. Pound-for-pound a strong player. Lack of weight/leverage shows up in negative run-defense plays. Lacks top-level flexibility/bend. Still raw in overall anticipation and pass-rush moves/timing."
"154","Rucker brings a stronger bull rush than you'd expect for a player who is under 6-foot-2, though he weighs around 255 pounds. He is a fundamentally sound player with precise hands, square shoulders to the LOS and good eyes into the backfield. His pass- rush plan feels well thought out and with purpose. He is also a natural mover, so teams can feel comfortable spot-dropping him into zone coverage every now and then. His pass-rush scores were high, including a 93rd-percentile win percentage, though his sack production was low throughout his career. He also seems like a guy who just loves football — he talked about how happy he was to just put on his uniform again to play on nine snaps the first game back from injury. He is also a reliable tackler with a low missed tackle percentage.","Active hands are always trying to keep him clean. Packs a punch at contact due to his frame and natural leverage. Has decent burst and bend on passing downs. Sound tackler with good tackling technique. Natural movement skills as a drop zone defender. Short strides don't cover a ton of ground in pursuit. Change of direction is a bit stiff/doesn't cover a lot of ground. Unsure he has the frame to be more than a pass rush specialist."
"155","He has high grades defending the run and rushing the passer over the last two seasons, and he has a 6-foot-5, 265-pound frame to project a high floor at the NFL level. He has a strong first step that is consistently clean off his front foot with no false steps as a pass-rusher. He also has good speed-to-power conversion and bases most of his pass rush success around a bull rush. He has a developing spin move and two-handed swipe but is still working on hitting them cleanly. He has good length, strength and hand technique to consistently stack and shed on his terms and quickly. He also has long arms and a good feel for when the ball is coming out to get his hands up for PBUs. He is also a good enough athlete to spot-drop into coverage a handful of times per game. He is a consistent competitor with a good motor.","Good eyes, timing and strength to stack and shed against run. First step is consistently from the front foot in his stance. Fundamentally sound player who is rarely out of position. Good feel for when and where passes are going to get PBUs. Athletic enough to spot-drop from an edge spot in coverage. Needs a deeper pass rush bag beyond power moves. Not a bendy pass-rusher on the outside. Arms are average to below average."
"156","He's listed at 6-foot-4, 280 pounds. That size profile gives him the ability to line up anywhere from a 4i DE to a 7-tech OLB. He has a strong upper body but plays with high pad leverage when aligned as an OLB — naturally better from three-point stance. At Purdue, he showed a wide variety of pass-rush moves, both in power and finesse. He also has a really nice spin move that he goes to when tackles over set to the outside. In 2024, we didn't see all those moves as much or as effectively, but they are still there. His hand work is fast but felt more ineffective this season when it came to staying clean and truly winning a rep. He also seems to lack the flexibility to really turn the corner at a high level, which is understandable given his size. His frame gives him a good ability to anchor versus the run, though he would rather defend the run by attacking the backfield. His arm length appears to be below average for the NFL, which shows up in some difficulty getting off blocks when OL get hands on him.","Carries 280 pounds very well for an edge who can be OLB or DE. Experience playing both right and left side of the line. Many pass-rush moves already feel like second nature. Has a natural instinct to swipe his hands and stay clean. Comfortable shallow zone dropping from OLB spot. Isn't as violent defending the run as he could be. Loads/launches off his back foot. Plays with high pad level."
"157","Stewart is smaller for full-time edge work in the NFL, listed at 6- foot-1 and 242 pounds. However, he packs a punch at contact with good leverage despite those deficiencies. He is explosive and consistently launches off the front foot to give himself the best chance to beat blockers to the outside. His hands are fast, but they can be purposeless at times. Right now, he primarily wins due to a great first step with good leverage and high effort. He doesn't have a lot of pass-rush moves. On the line of scrimmage, he can get handled one-on-one in the run game, but then there are other reps where he'll give you a surprising win versus a player much bigger than him. He is strong as a tackler, though his tackle radius is smaller. He honestly feels like a player who might be more of an off-ball linebacker than an edge rusher when it comes to an NFL projection.","Not afraid to be physical despite smaller stature. All-around explosive athlete. Can attack both shoulders when aligned wide. Better than expected run defender via leverage and effort. Lack of stride length impact pursuit. Can be handled, strength-wise, one on one against TEs. Still working on hand precision with rush moves."
"158","Standing at 6-foot-6, 285 pounds with good length in his arms and explosiveness out of his stance, those long arms give Stewart an advantage to keep offensive tackles on their heels when he's driving with his legs, but his aiming points with his hands remain high, wide and overall inconsistent. He hasn’t mastered many pass-rush moves and wins mainly off athletic ability right now. When he fires off his front foot in his stance, he can really give offensive tackles trouble to protect their outside shoulder — but he consistently launches off his back foot, which helps them match his speed. He also lets blockers get their hands on him first too often. His anticipation improved in 2024, but he remains a player who often has to see it to react to it. His speed-to-power, specifically from a 3- and 4-point stances is imposing and can really move linemen multiple steps back. He also takes that strong approach to anchoring against the run.","Imposing size, even for NFL standards. Top-tier explosiveness at his size. Speed to power can be dominant. Violent hands to disengage. Willing and able to hold the POA against the run. Lets OTs get hands on him first. Pass-rush plans need refinement and more finesse. Hand placement can be wide and off target."
"159","Swinson’s hands are fantastic, whether that be placement and power when stacking or how active and quick they are to stay clean and hit pass-rush moves. He has a good array of pass-rush moves, such as a cross chop, two-hand swipe, and a quick arm- over swim move. His pass-rush win percentage has been exceptionally high for three straight seasons. When engaging to hold the point of attack, his posture can be a bit over his toes and hunched. He also has a bad habit of dropping his eyes. This can cause some balance issues and delays how quickly he can shed blockers after stacking them. Overall, he has very fluid movement skills in both the linear and lateral categories. His movements allow teams to place him in spot-drop zone coverage situations, but his feel and anticipation in coverage need work. He also tends to over pursue misdirection plays in the backfield.","Good burst both laterally and linear. Decent speed and bend around the arc. Natural movement skills to drop back into shallow zones. Active hands to hit moves and stay clean when pass rushing. High pass-rush win percentage each of the last three seasons. Hand placement when stacking is good, but slower to shed. Posture is a bit hunched over with weight more on his toes. Has some false/unnecessary steps off the snap."
