player_name,player_key,team,position,headshot_url
Quincy Brown,quincy brown,Florida Atlantic,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429093.png
Demon Clowney,demon clowney,South Carolina,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4429094.png
Jaylen Garth,jaylen garth,UTSA,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429095.png
Jordan Botelho,jordan botelho,Notre Dame,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429101.png
J.J. Hester,jj hester,Kentucky,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429103.png
Ty'Kieast Crawford,tykieast crawford,West Virginia,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429104.png
Dazalin Worsham,dazalin worsham,UT Martin,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429107.png
Zykeivous Walker,zykeivous walker,Auburn,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429114.png
Logan Parr,logan parr,SMU,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429117.png
Jay Hardy,jay hardy,Auburn,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429123.png
Jacobian Guillory II,jacobian guillory ii,LSU,DT,https://a.espncdn.com/i/headshots/college-football/players/full/4429124.png
Gary Bryant Jr.,gary bryant jr,Oregon,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429125.png
Xavion Alford,xavion alford,Arizona State,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4429127.png
Mike Drennen II,mike drennen ii,Toledo,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4429129.png
Prince Dorbah,prince dorbah,Arizona State,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429140.png
Harrison Bailey,harrison bailey,Florida,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4429145.png
Keontae Jenkins,keontae jenkins,Delaware,CB,https://a.espncdn.com/i/headshots/college-football/players/full/4429146.png
Brendon Lewis,brendon lewis,Memphis,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4429149.png
Myles Slusher,myles slusher,Purdue,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4429156.png
Eric Taylor,eric taylor,Coastal Carolina,NT,https://a.espncdn.com/i/headshots/college-football/players/full/4429159.png
Jaiden Francois,jaiden francois,Duke,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4429162.png
Bryce Farrell,bryce farrell,Stanford,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429173.png
