"","full_name","blurb","pros","cons","where_wins","what_role","what_improve","bottom_line"
"102","Matt Waletzko","Waletzko has been starting for North Dakota ever since he arrived in 2018. He's missed time over the years with a knee injury in 2019 and a shoulder injury this past fall, but never played anywhere but left tackle the last three seasons. The outside is where he profiles best in the NFL. He's a long and agile tackle with the kind of tools that are tailor-made to pass protect in the NFL. He'll also be a weapon in the screen game where he can track down even defensive Cold Spring, MN","Exceptionally broad human being. Measured an 86"" wingspan at his pro day. So dang light on his for having a top-heavy build. Can really move in space. Shows the kind of sink and flexibility that's uncommon for a taller tackle.","Mass all comes in his upper half. Oddly skinny legs for a tackle. Footwork and angles in pass sets are often non- existent. Little feel for the pocket. Grading was nothing special at low-level competition with few NFL pass pro concepts",NA,NA,NA,"Waletzko ticks so many physical boxes of a high-end starting tackle, but his tape screams developmental project."
"103","Rasheed Walker","A former top-100 recruit, Walker took one redshirt year before he was tabbed as the starting left tackle for the next three years. For his first year as a starter, his 2019 season put him on draft radars as he earned a 69.7 overall grade. He made some strides in pass protection in 2020 season, but not nearly enough for him to declare that early. With high expectations in 2021, Walker fell drastically short from Week 1 where he earned a 49.0 overall grade against Wisconsin and onward with a meniscus tear causing him to miss the end of the season. Waldorf, MD","Well proportioned tackle frame that immediately looks the part. Strong and flexible lower half that can sit down vs. bull-rushes. Feet churn in the run game. Never stop trying to displace defenders when engaged.","Base widens and tightens willy-nilly in his pass sets. Feet do him no favors. Got stunted to death. Too heavy on heels in sets to react. Injuries torpedoed him in 2021. Tape was better the year prior.","T A CKLE T R A IT S So few players on this earth move like NFL tackles and Walker is one of them. Being able to move and look athletic at his size is why he's going to get every chance to succeed at the next level.","SWIN G T A CKLE Walker has played enough ball and still not improved to the point where one might have to accept this is who he is. That's an NFL tackle, but it's likely a backup.","BA LA N CE IN SET S Walker is too athletic to put some of the reps he did on tape. He gets himself in bad positions out of lack of attention to detail and loses balance.","Walker looks like an NFL tackle, but between lackluster tape and opting out of athletic testing, Walker's stock is going the wrong way."
"104","Luke Wattenberg","You will not find many more experienced linemen in the history of college football. N/A After redshirting in 2016, Wattenberg went on to be a starter for five years with the Huskies! He's got starting experience at left N/A tackle, left guard, and center. The problem is, none of those seasons finished with 7-UDFA particularly impressive grades. His peak was this past season at a middling 72.7 overall. While that experience might be coveted, Longer that performance will not. Jimmy San Juan Capistrano, CA","Plus ability to climb to the second-level and locate. Tight hands in the run game. Gaining initial engage is rarely his problem. 3,307 career snaps to his name across left tackle, left guard, and center.","Nothing to his lower half. Walked back far too easily. Knocked off balance with any sort of jolt from a defender. No improvement from a grading perspective over the course of his career.",NA,NA,NA,"Wattenberg looks the part until he has to impose his will. His play strength isn't at the level you want to start in the league."
"105","Dohnovan West","West walked onto Arizona State's campus and was the starting center for his very first collegiate game. He switched to right guard midseason, left guard in 2020 and then finally landed back at center this past fall. All the while playing football well beyond his years. His grade would have taken a good leap forward each of those seasons were it not for him getting downgraded for an off-target snap seemingly ever other game. He's young and versatile - that's a good combo. Mission Hills, CA","Smooth mover who plays a very under control brand of football. Won't turn 21 until May. Youngest IOL prospect in class. Consistent hand placement beyond his years. Low and inside to gain leverage.","Below 300 pounds at combine. Upper body/core strength not quite at an NFL-level yet. Consistent issues with snap accuracy. A ton of botched snaps. Noticeable hitch out of his snap. More pronounced when moving to his left post-snap.","BA LA N CE About the only time you see this guy on the ground is when he trips over someone else’s foot. West is such a natural athlete which is why he graded out so well early in his college career.","CEN T ER / G U A R D P R OJECT He's played 260+ snaps at all three interior line positions. He's likely a center at his size now but has room to grow into guard with a couple years in an NFL weight room.","U P P ER BODY ST R EN G T H West's ability to maintain control of blocks suffers because of this. At his age, though, this is something one can certainly expect to improve.","West may take a while to get there physically, but it's all there to be a starting interior linemen in time."
"106","Thomas Booker","A former top recruit, Booker has seen significant time ever since his true freshman year in 2018 and been a starter ever since 2019. Unfortunately, he never quite lived up to that lofty recruiting status as Bookers best year came as a sophomore. That year he posted his career high for sacks (6) and stops (32) despite playing 262 snaps fewer than this past fall. He's got athletic tools to work with and versatility that will be More Raw coveted. Dereke Baltimore, MD","quicks are tremendous for a 300+ pounder. the Stanford defensive line. every alignment on the interior.","A nightmare to handle on slants. First step game. Thick lower half that stands out immediately on When he does, they are late in snap. Versatile body type that can and has filled taken out of his gap entirely.","EX P LOSIV E LOWER H A LF When everything fires in unison, Booker can put some awe inspiring reps on tape. He can fire off and turn the corner with the best of them.","V ER SA T ILE R OT A T ION A L DT This is pretty much what Booker has already been at Stanford. He doesn't look particularly out of place wherever he lines up.","A WA R EN ESS Booker could easily develop into a starter once the game slows down for him. It's concerning that hasn't happened in four years at Stanford, though. Having a more well-defined role could help him out in this regard a lot.","Booker has high-end starter flashes and athleticism. They just come once in a blue moon."
"107","Matthew Butler","Butler was a bit of a late bloomer in his five seasons with the Volunteers. It took until his redshirt sophomore year to lock down a rotational role, his redshirt junior year to lock down a starting role, and his redshirt senior year before he started to really make an impact. While averaging 55.8 snaps per game, Butler still managed to grade out well above-average as both a run defender and pass-rusher last fall. He was a havoc Poor Man’s creating 3-technique in Tennessee's Marlon defense and often got deployed on post- Davidson snap slants to try to take advantage of his Garner, NC","a pass-rusher. better against doubles than expected. hands first.","Active hands and plus motor. Lot of late wins as a three-technique. Can pinball off OL and still make plays. Held up better when given carte blanch to attack. Stays low out of his stance and leads with his rookie.","EF F OR T Butler puts everything he has into every single play. You won't find many lethargic get-offs or lackluster pass-rush attempts on his tape.","3 - T ECH Butler may not ever profile as a high-end playmaker at the next level, but don't be surprised if he's in a starting lineup at some point. He can get off the ball and create havoc.","ST A CK/ SH ED With two-gapping all the rage in the NFL, Butler has to improve his ability to engage and disengage opposing offensive line. Because as it stands, Butler relies on his penetrating.","The leap Butler made from 2020 to 2021 makes him an intriguing prospect to see if there's another step in his development."
"108","Jordan Davis","Last fall, you couldn't tune into a Georgia game for more than five minutes without hearing about Davis — and with good reason. The behemoth nose tackle is different than any other player we've seen at the position. For a man of his size, his first step is unstoppable on stunts and slants. He's played that same nose role in Georgia's defense since his freshman year in 2018, never playing more than 265 snaps in a season until this past fall. Those workload Henderson concerns are still valid even after he played 378 snaps in 2021. Charlotte, NC","as we've seen in recent college football. plays on wide runs. teams. Rarely moved at all.","Comically large. As powerful a defensive tackle workload, even when games weren't blowouts. Surprising range for a man his size. Can make explosiveness. Sinks his anchor very well against double- a pass-rusher.","P OWER You won't find many human beings with a frame like Davis', and there may not be any others that size who can range down the line of scrimmage the way he can. He's a unique specimen in the course of human history.","N OSE T A CKLE Plop Davis down in the A-gap on first and second down and watch your run defense improve. He's a pure nose tackle who hold the point and also make plays.","CON DIT ION IN G Davis has to get his conditioning to a place where he can handle an NFL workload. Only playing 25 snaps a game isn't going to provide much value in the league.","Davis is going to stuff the run in the league — just don't expect too much more."
"109","Noah Elliss","Elliss initially committed to Mississippi State, but didn't qualify academically his only year there in 2017. He took a bit of a circuitous route then to Idaho where his father was the defensive line coach. Elliss was immediately a force in run defense his first year with the Vandals before a knee injury forced him to miss time. Elliss then played in both the spring and fall of last year where he saw his run defense grade steadily Stevie increase. Even at a low-level of Tu’kolovatu competition, though, Elliss was never much as a pass-rusher. Littleton, CO","competition. to wrangle ball-carriers. snaps in four games last year.","Massive lower half. Overpowered his scrimmage and finish plays. Playmaking vision off the nose. Sheds just in time torn hamstring. Already seen a considerable workload. 50+ being an issue.",NA,NA,NA,"Weight and injury issues follow Elliss to the NFL, but it's easy to see him being cracking a lineup at nose tackle on early downs. in the league."
"110","Neil Farrell","While many on the LSU roster failed to live up to expectations this past fall, Farrell put together far and away the best season of his five-year career. He played an instrumental part in LSU's title run back in 2019, but he was more of a run-down 5- technique back then. The 2021 season was the first where he actually got to play on the nose, and he took to it like a pig in mud. His physical tools are middling for the position, but he's one feisty dude when it Hankins comes to attacking blocks. Mobile, AL","contact is hard to handle. opponent with everything he has. reps to the whistle.","Consistently excellent hand placement. Pop on Limits his stack-shed ability. Comes off the ball with aggression. Firing into positions trying to be a playmaker. High motor for a nose tackle. Fights his pass-rush until Year 5.","WIG G LE Farrell wins with above-average first-step quickness for a nose tackle, combined with a violent and consistent punch. He's a playmaker at nose because of that ability to win consistently early in the snap.","P EN ET R A T IN G N OSE Defenses that like to create havoc with their front four will be a fan of Farrell's services at nose tackle. He's at his best playing off the sides of opposing linemen rather than working straight through them.","G A P CON T R OL Farrell is never going to be a pure hold-the-point nose tackle, but his gap control could stand to be better. He plays a little more reckless than most defenses in the NFL are willing to accept at the position.","Farrell can make plays on the nose, but you'll have to live with some inconsistency."
"111","Logan Hall","Hall has always been oddly cast in Houston's defense. As a 241-pound freshman, he was playing 3-4 defensive end. Then, as a sophomore, he got kicked even further inside despite weighing in at just over 250 pounds. He's continued to bulk up since but has always been one of the skinniest defensive tackles in college football. Even still, Hall has improved as a run defender every year until he was a legit weapon in that regard last fall. He may be McDowell a bit of a tweener, but that's nothing new. Belton, TX","guards can match. guards play after play. Wins through you.","Ultra long for a defensive tackle. Not many Tough for him to play with leverage. Terrific stutter bull-rush already. Walked back after first strike. Attacking mentality. No finesse to his game. separate. Content to continue churning.","LEN G T H Hall wins by being a guard's worst nightmare. Guards, even at the NFL level, don't often see his combination of length and explosiveness. That causes a lot of problems when he can consistently get into their pads.","3 - 5 T ECH Hall was built to play right over offensive tackles. His long two-gapping frame is ideal to play the run in the new wave of light boxes. Just don't kick him much more inside than that on run downs.","A CT IV E H A N DS Aside from the leverage issues, Hall could have issues based purely on his frame — he desperately needs to work on move sequencing. He's got a nice bull-rush and a nice swim, but there's nothing that comes after either.","Hall has so many ways to win as a pass-rusher. It's not if he'll be an impact player in that regard, but when."
"112","Travis Jones","Flip on the UConn tape at any point over the last four years, and Jones sticks out like a sore thumb. He was the Huskies' best defender as a true freshman in 2018, notably putting up an 88.3 run-defense grade. Since then, he's continued to add more to his pass-rushing arsenal to make him an all-around defensive tackle. Despite his nose-tackle size, Jones only played snaps at nose tackle in his career. New Haven, CT","stunt/slant him is often a waste of time. with his hand usage. throughout frame.","Strong hands. Ragdolled linemen left and right. Long arms and quick to lock out. Very adept rush reps. Ideal anchor for a nose. Carries strength","ST R EN G T H Jones wins how you want a nose tackle to win: brute strength. He's assignment sound and immovable. He possesses the requisite strength in his lower body to hold the point and upper body to control the block.","N OSE T A CKLE Don't expect much in the way of position versatility. Jones is a pure nose tackle who is not going to be seeing the field in obvious passing situations.","ST A Y IN G LOW Playing lower as a pass-rusher would go a long way. There's ability to make plays there, but right now, he's too easily uprooted and stopped in his tracks.","Jones is a quintessential block of granite at nose tackle with a touch of pocketpushing ability thrown in."
"113","Phidarian Mathis","Mathis is the next in a long line of Nick Saban-coached defensive tackles who will be starting in the NFL. Even though he's seen the field since his redshirt freshman year in 2018, Mathis didn't garner a full-time workload until this past fall when he showcased the all-around skill set that makes him one of the best plug-and-play defensive tackle options in the draft class. He's NFL-ready from a technique standpoint and consistently showed the ability to line Guy up anywhere Alabama wanted him to. Monroe, LA","higher-cut defensive tackle. dynamo. from tackle to tackle.","Outstanding pad level in the run game for a Average burst to close to ball carriers. Consistent and violent hands. Stack-shed mirroring ability. Long frame. Capable of playing any position being a fifth-year defensive tackle.","H A N DS Mathis wins with his strong hands combined with long arms. He possesses ideal two-gapping block controller traits. And he can do so from any alignment.","2 - G A P P ER Mathis would be best in a two-gapping role, and the alignment honestly won't make much of a difference. His skill set allows him to play over tackles, guards or centers.","T WIT CH Mathis' most glaring negatives are all physical in nature. He's just not the kind of high-end athlete that effects passing games consistently at the NFL level.","Mathis is a versatile and reliable two-gapping run defender who will fit in any defense."
"114","Marquan Mccall","McCall came to Kentucky as a top offensive line recruit before switching to the defensive side of the ball. As a sophomore in 2019, McCall showed promise with a 76.5 overall grade on 229 snaps. Unfortunately, he never built upon that as he couldn't keep his weight in a position where he 7-UDFA could stay on the field. Hopefully that changes at the next level because there is enough physical ability there to make an impact. Slaton Oak Park, MI"," Listed at 379 last year. Barely played. Can execute stunts/slants. up well.","Plays with a feisty attitude. Tone setter. Can really get off the ball for a man his size. locked in too easily. Massive mitts that pack a punch when timed ground too much.","A T T IT U DE McCall may not play a ton of snaps, but when he does he's throwing ever thing he has at you. He can get a little out of control at times, but can also get into the backfield.","1 - G A P N OSE McCall isn't a hold the point kind of nose tackle. He wins at the snap or not at all. That's only going to fly in a one-gap defense.","H A N D P LA CEMEN T McCall has the kind of traits to be a consistent run defender, but he's all too often caught in bad positions. If he led with his hands more consistently than his head that would change.","McCall is a two-down space eater that isn't particularly reliable at even that."
"115","Otito Ogbonnia","Ogbonnia was a promising rotational defensive tackle for three seasons before finally becoming a starter as a senior this past fall. It was in 2021 where Ogbonnia finally started to make a difference as a pass-rusher. That continued at the Senior Bowl where his length played routinely in the one-on-ones. He still, though, was regularly too high in the run game and had a rough week of practices in that regard. Katy, TX","him toss an offensive lineman. (rip, bull, etc.) his rushes.","Long, powerful arms. Not uncommon to see nose tackle. Moveable. Number of ways to win as a pass-rusher already ball carriers. Never missed a game due to injury in career.","U P P ER BODY ST R EN G T H Ogbonnia is a block controller through and through. He can keep offensive linemen at bay with his big hands and powerful upper body.","2-GAP NT The ""Where He Wins"" writeup has 2-gapper written all over it. Stacking and shedding is Ogbonnia's strong suit and he's got the traits to continue that in the league.","A N CH OR Ogbonnia flat out has to play lower if he wants to see the field in the NFL. It's likely why he couldn't see the field consistently until his senior year in college. He cedes ground too easily even one-on-one.","Ogbonnia has intriguing upper body strength for the nose tackle position, but it may not matter because he won't see the field unless his anchor improves."
"116","Jayden Peevy","Peevy has seen the field for five straight seasons now with him becoming a starter only in the past two. He's a run first player who never garnered more than 20 pressures in a season over the course of his career. Despite that, he often filled the B-gap in the Aggies defense with over 75% of his career snaps coming from that alignment. At his size, he's not a true nose tackle in the league, but also not going to be anyone's preferred choice at 3-technique. Jones Bellaire, TX","size. of ducking head. Gains upper hand. Straight-forward power player.","Long, powerful upper body. Block controller. Consistently shoots hands into contact instead 20 career missed tackles. Knows who he is and plays to his strengths. battles at his height.",NA,NA,NA,"Peevy has an intriguing two-gapping frame, but just don't expect much more."
"117","Eyioma Uwazurike","It's been a long time coming for the soon- to-be 24-year old defensive tackle. He's been at Iowa State for six years with a redshirt, two years as a backup, then three years as a starter. This past season he took his game to another level as a pass-rusher where he nearly doubled his previous career high for pressures. Uwazurike doesn't profile as an impact player in that regard, but that development showed he can offer something in that regard. Still, he's a run-first Butler player that will be drafted as such. Detroit, MI","dream on the nose. Over 35"" arms. advantage. Bench presses centers. slot in anywhere on the interior.","Size and length that's a defensive line coaches booth power. Quick to lock out arms and utilize length him off guard. Production at a number of alignments. Can regaining leverage.",NA,NA,NA,"Uwazurike is the two-gapper you want late in the draft. He can go head up with any OL position and still hold the point."
"118","Perrion Winfrey","Winfrey started his career at Iowa Western Community College for two years before transferring to Oklahoma. For the Sooners, he made an impact as a penetrator with an elite first step to get upfield. However, he was often miscast in Oklahoma's defense, playing 236 snaps at nose tackle despite being on the slimmer side for even a 3- technique. It remains to be seen how he'll hold up to NFL power, but he has developmental physical tools for a 1-gap Hill Roselle, IL","quickly. to the sideline. alignment.","Get-off is where he wins. Puts guards in a bind good portion of games. Legit range. Ran with running backs all the way his gap control. Long, strong arms. Gives him some versatility in Taken off balance by combos.","A T H LET ICISM Winfrey's splits versus Group of Five (11 pressures in two games) and Power Five (18 pressures in 10 games) offensive lines are indicative of where he wins: pure athleticism.","3 - T ECH Winfrey's grade was done no favors by him lining up at pure nose tackle more than he should have. He's a 3-4-5 technique at the NFL level, preferably in a scheme that covets penetrators/havoc creators.","CON SIST EN CY Winfrey has to play within himself better. It's not uncommon to see him beat a lineman yet end up nowhere near the play still as he's left flailing. The ""want to"" is there, but the consistency is not.","Winfrey has the tools to develop into a pass-rushing threat in the NFL, but it'll take a while to get there."
"119","Devonte Wyatt","It was a long road for Wyatt to get to where he is, but he finally put together his prodigious physical tools as a redshirt senior. He's been a healthy part of Georgia's interior rotation ever since his redshirt freshman year in 2018 but never really put it together until last fall. Like others on the Georgia line, Wyatt is likely to shine even more when given a role with more freedom, as he had at the Senior Bowl. Decatur, GA"," Explosive dude. don't often see. Can bend back to QBs. that hurt his pass-rushing efficiency.","First step is as good as it gets in the draft class. pass-rusher. All finesse at the moment. Cornering ability for a defensive tackle you he wins. So many schemed rushes to free up blitzing LBs that weight.","G ET OF F Wyatt wins with elite quickness. He not only possesses linear explosion, but he also has enough agility to make guards whiff. He does it all well over 300 pounds, which is rare to see.","V ER SA T ILE DT Wyatt's a versatile defensive tackle capable of lining up anywhere between the tackles. He's at his best when he can put that first step to good use, but his game can still fit into any scheme.","P OWER MOV E Wyatt needs to add a physical element to his pass-rushing arsenal. He's an elite athlete for the position, but he relies on that too much. He could be a bull-rush threat if he wanted to be.","Wyatt has the most all-around skill set in the defensive tackle class and can make an impact from Day 1."
"120","Christopher Allen","Allen has seen time for the Tide ever since his true freshman year in 2017. After missing 2018 with a knee injury, he returned to another part-timer role in 2019 before starting on Alabama's national championship team. He was utliized for his versatility that year, dropping into coverage on 76 snaps. While he wasn't all that productive, Allen showed he could win in a number of different ways. Baton Rouge, , LA"," Uncoachable feel for secondary moves. edge. More of a hands rusher. tackles pads.","Strings his moves together seamlessly. Little versatility vs. run. Has to be wide. Coverage versatility to play a true 3-4 OLB role. Physical rusher despite size. Wants to get in 2018 and most of 2021.",NA,NA,NA,"He's got an extensive injury history and will be limited to a 3rd down role, but he's got an innate feel for rushing the passer."
"121","Amare Barno","Barno started his career with two years at Butler Community College before transferring to Virginia Tech. After redshirting his first year with the Hokies in 2019, Barno has been a starter the past two seasons. There's not much in his production profile over that span that screams NFL starter. His most NFL translatable skill at the moment is being able to track down ball carriers in Blythewood, SC","record for defensive ends. position. speed-rushing moves are in infancy.","All-time speed for the position. Broke the 40- element to speak of in his game. Ideal height-length combination for the nothing in his repertoire to get them off. Gets a lot of run out of inside spin counter. His inside the way you'd like a speed rusher.","SP EED Barno can cover ground better than anyone in this class. Some of his best reps came when he was a walked up linebacker who got to spy and pick whatever crease he saw fit.","DP R I don't think a move off-ball will unlock any potential for the undersized edge. His role is being the speed threat in any NASCAR/3rd down package.","MU SCLE MA SS Barno's build on tape looks closer to that of an NFL receiver than an NFL defensive end. He simply can't see the field with his current play strength.","Barno's feel for the game is so far behind the curve. He's a guy you'll have to stash and hope the light switch turns on at some point."
"122","Nik Bonitto","Bonitto broke into the starting lineup as a redshirt freshman in 2019, but back then, he was far more of a true 3-4 outside linebacker who dropped into coverage as often as he rushed the passer. It wasn't until 2020 that the Sooners really started to realize what they had as a pass-rusher. When Bonitto faced lesser tackles on the schedule over the past two seasons, he simply didn't lose. Between his consistent pass-rush plans and some high-end Reddick quickness for the position, Bonitto earned the highest pass-rushing grade in the country over that span. Fort Lauderdale, FL","foot speed of tackles. what the tackle does with his moves. the speed-rusher handbook.","Twitchiness is his game. He's going to test the into blocks on a regular basis. Such a quick processor. Always playing off edge in the NFL. Impressive array of moves at his disposal. Has Becomes more essential in the NFL.","T WIT CH Twitchiness. Bonitto wins not only with a high-end get-off but also with agility and body control to be a tackle's worst nightmare in space. He's a difficult dude to mirror.","DESIG N A T ED P A SS- R U SH ER Bonitto will be at his best as a pure designated pass-rusher. He needs to be kept in space and protected in the run game. If a team has solid run defenders along the rest of its line, it can likely get away with him on early downs.","P LA Y ST R EN G T H Bonitto has to continue to pack on strength to his frame to be an every-down player in the NFL. If he can't convert his speed to power as a rusher, he won't be nearly as effective.","Bonitto is a bit of a one-trick speed-rusher, but he can still make an impact in obvious passing situations."
"123","Zachary Carter","Carter has been starting for the Gators over the past three seasons, but he's never quite had NFL-worthy tape until this past season, which is when he really started to shine as a pass-rusher. His versatility was massive for the Gators defense, as he's played 135-plus snaps lined up as a three- technique in each of the past three seasons. Realistically, in the NFL, that's where he's going to have to win with the kind of physical skillset he brings to the Keke Tampa, FL","of moves without going places. blocks with ease. fights to break free.","Plus agility for a big guy. Strong upper body allows him to separate from third steps. No speed threat. Hands don't quit. Very quick to replace and the run full-time inside.","H EA V Y H A N DS Carter wins with the shock he can create on contact. This is the same man who threw 350- pound tackle Evan Neal to the ground in 2021. He can get off blocks at an NFL level.","T WEEN ER / 3 - T ECH This is the tough part: Carter is a tweener. He's not going to impact the passer on the outside and will have issues with doubles inside. He'll have to gain a little mass and be a 3-tech in the NFL.","H A N D P LA CEMEN T With more consistent hand placement, Carter can make an impact as a pass-rusher at the next level. The good news is, we've already seen him make a big leap in that regard from 2020 to 2021.","Carter has an NFL-caliber body, but none of his traits particularly excite. That’s worrisome when he's a bit of a tweener."
"124","Michael Clemons","There are some long and winding roads to the NFL and then there's what Clemons did. He first entered Cisco Community College where he redshirted his first season...in 2015! After two years there, he transferred to Texas A&M where he played 321 snaps in 2017. A foot injury granted him a medical redshirt in 2018 before returning in 2019 as a starter. He's been starting ever since, but missed seven games the last three years with injury and another this past fall due to a Ejiofor suspension after an arrest for unlawful carrying of a weapon. Whew. Sachse, TX","shoulders, big hands, and lean muscle mass. shockwaves on contact. win the edge.","Lab-made edge build. Long-arms, broad bending the top of the pocket. Strong lower half that can sink and send Not comfortable playing in space off the edge. Advanced bull-rusher with counters off of it to Turns 25 in August.","LEN G T H / ST R EN G T H Clemons knows how to use every bit of his 6-foot-5 frame to get into opposing tackles pads and liver there. It gives him some semblance of a floor at the next leveL because it's a tried and true body type.","EA R LY DOWN EN D The problem is that ""early down end"" isn't much of a role. He can be part of a rotation, but if he's on the field in third down packages that's concerning.","F IN ISH IN G Clemons has left a lot of plays on the table over the course of his career - especially against the run. It's why his stop numbers are so uninspiring. He's missed 10 of his 47 tackle attempts the past two sesons.","Old and middlingly athletic, Clemons looks like a rotational depth piece at best."
"125","Arnold Ebiketie","Ebiketie did not take the typical path to likely top-50 pick, as he was a backup at Temple for his first two seasons before breaking out as a starter with 22 pressures in five games back in 2020. Ebiketie then transferred to Penn State, where his production against lesser competition not 1-2 only translated, but his grade also improved. He's one of the few true consistent edge winners in the draft class, which is why he dominated so many good Harris tackles on his schedule. Kensington, MD","stopping tackles from getting in his frame. approaching angles and setting up tackles. edge.","Active and powerful hands. Very good at where he wins. Consistently brings a pass-rush plan. Adept at rushing prowess. Number of ways in his repertoire to win the until his fifth year.","P A SS- R U SH P LA N Ebiketie wins with savvy and hand usage. The way he plays the edge position just looks like the way a veteran in the league plays. From that standpoint, the learning curve for him may not be too steep.","A LL- A R OU N D EDG E Ebiketie is one of the more NFL-ready edges in the class. He can start in the league tomorrow with how technically proficient he is. He better be, though, considering his age.","LIMIT ED T OOLS The team drafting Ebiketie is going to have to accept limitations. He simply doesn't have a physical trait in his arsenal that would qualify as above-average in the NFL.","Ebiketie's consistent production is hard to ignore, but he just doesn't have the tools to get NFL evaluators excited."
"126","Kingsley Enagbare","Enagbare is one of the most head- scratching evaluations in the draft class. His pass-rush win rate was one of the highest in the country over the past two years. Despite that, he rarely finishes plays and doesn't always look pretty when he is winning. He's also not the high-end athlete who usually 2-3 wins at the position, as he actually wins with length and power. All that comes together to form a unique prospect profile that doesn't have much precedent. Wise Atlanta, GA","right, he knocks down punches with ease. match or exceed most tackles he'll face. elite pass-rushing grades.","Heavy, heavy hands. When he times his swipe Some reps look like he's trying to get blocked. Ideal length for the edge. Long arms can ball carriers. Still very productive in the SEC. Two years of to his technique.","H A N DS Hands: That's quite easily his trump-card trait. Honestly, that's almost exclusively where he wins. When he times them right, there wasn't a tackle who could hang with them.","WIDE 9 Enagbare is most comfortable from a wide-9 or 3-4 OLB alignment. He doesn't play with consistent enough leverage to feel great about him over tackles or tight ends.","CON SIST EN T T ECH N IQU E Consistency. Consistency. Consistency. Enagbare almost looks like a different position player who's been asked to rush the passer sometimes.","It's encouraging Enagbare graded so well despite any sort of refinement to his game, but will that refinement ever come is the question."
"127","Aidan Hutchinson","Hutchinson has been a Wolverines starter ever since his sophomore year back in 2019. Back then, Hutchinson played more of a 3-4 defensive end type of role, as he regularly lined up inside of and over offensive tackles. After breaking his leg two games into 2020, Hutchinson returned for his senior year down Top-10 20 pounds and was ready to play outside full-time, and his draft stock took off. The Michigan edge defender turned in one of Kyle Vanden the most dominant seasons we've seen at Bosch the position and progressed even as the year went on. Dearborn, MI","frame. Dictates interactions. counters are deadly. another. He's never ""done"" as a pass-rusher.","Explosiveness and strength throughout his average for the position. Stupid-good agility for a man his size. His inside always look pretty. Sequences one move into another into senior season.","V IOLEN CE In 2021, it was anywhere he wanted. But if I had to boil it down to one area, it's his violence into contact. You just don't see offensive linemen control him.","A LL- A R OU N D EDG E He jostled between inside and outside early in his career, but after losing 20 pounds between his junior and senior seasons, he's clearly an edge. He'll be a quality starter from Day 1.","WIN N IN G T H E EDG E He could stand to add more moves to win the edge. He got a lot of play out of inside moves, but that's not as sustainable in the NFL. Right now, high-scissors to a rip is how he wins the edge.","He may not have the perceived high end of some of the top-drafted edges of recent years, but it's a safe bet that he becomes a quality starter."
"128","Drake Jackson","Up to this point, Jackson's career has been all fate — literally. On his birth certificate, Jackson's father wanted to add ""USC Outside Linebacker, 265 pounds."" He fulfilled that destiny in 2019 when he started as a true freshman and racked up pressures. After COVID left USC with only six games in 2020, Jackson had easily his best season last fall. He still didn't improve much as a run defender over the course of his Twitchier career, but for a guy who only turns 21-years Shillique old a few weeks before the draft, he should Calhoun be able to develop physically. Coronoa, CA","the hoop at an angle. take advantage of it with long-arm moves. he doesn't get locked up.","Gumby kind of edge. Very comfortable running Can end his rushes before they begin. Long-limbed, ideal edge frame. Knows how to lower-body strength to be consistent there. Slippery dude. Good at positioning himself so Only 10 run stops in 11 games.","BEN D Jackson has elite bend for an edge rusher. He can duck low under opposing tackles and avoid contact altogether. That's a necessary trait possessed by the elite at the position.","P R OJECT EDG E Jackson could become a three-down edge in pretty much any scheme. He's only 20 years old, though, and not a guy who's ready to make an impact on an NFL field tomorrow.","P OWER MOV ES There's no physical portion to Jackson's game. If he's winning a block, it's immediately on contact. There's not a lot of engaging then separating on his tape.","Jackson is young and only scratching the surface of what his tools could make him. He needs to go somewhere willing to spend a pick while developing him."
"129","Jermaine Johnson","Johnson spent two years at Independence Community College before spending two seasons in a rotational role at Georgia. Still slated to not even see the field full-time for the Bulldogs in 2021, Johnson transferred to Florida State, where he played the 10th most snaps of any edge in the country. He was an exceedingly consistent force for the Seminoles, racking up multiple pressures in every single game he played in 2021. Hall Eden Prairie, MN","under tackles despite being 6-foot-5. game. year.","Tremendous bend for a man his size. Gets threaten with speed. Stout lower half. Sets a hard edge in the run make many linemen miss altogether. Iron man. Averaged 61 snaps a game last player at Georgia prior to 2021.","LEV ER A G E Johnson wins with length and leverage. He is the best pure edge-setter in the run game in the class. As a pass-rusher, he already has a number of moves, including a deadly Euro-step hesitation to the outside.","EDG E SET T ER Johnson is a three-down defensive end who profiles best in the run game. Put him one on one with tight ends, and he'll shut down his side of the line.","A CT IV E H A N DS Johnson could stand to get more active with his hands. If he doesn't win cleanly on contact, it takes him a while to separate from offensive tackles.","Johnson has very easy NFL-projectable tools. It's just the high end that's lacking on tape."
